celebrity_name,season,week,judge_score,placement,weeks_participated,method1_combined_rank,method2_combined_pct,method1_pos,method2_pos,n_contestants,eliminated_week,is_eliminated
Jennifer Grey,11,2,24.0,1,10,4.0,0.2087963569430066,1.0,2.0,11,,0
Jennifer Grey,11,3,24.0,1,10,6.0,0.221859505546538,1.0,1.0,10,,0
Jennifer Grey,11,4,28.0,1,10,5.0,0.2786596889548171,1.0,1.0,9,,0
Jennifer Grey,11,5,25.0,1,10,5.0,0.2770266925134816,1.0,1.0,8,,0
Jennifer Grey,11,6,29.0,1,10,9.0,0.3052014978125927,6.0,4.0,7,,0
Jennifer Grey,11,7,36.5,1,10,4.5,0.3612342515610252,1.0,3.0,6,,0
Jennifer Grey,11,8,28.5,1,10,4.5,0.4979133781907638,1.0,3.0,5,,0
Jennifer Grey,11,9,30.0,1,10,3.0,0.5939400919316908,1.0,1.0,3,,0
Jennifer Grey,11,10,30.0,1,10,4.0,0.6912982274568766,2.0,1.0,3,,0
Rick Fox,11,1,22.0,6,7,15.0,0.1819238610401694,8.5,4.0,12,7.0,0
Rick Fox,11,2,21.0,6,7,15.0,0.1906840811000017,8.0,7.0,11,7.0,0
Rick Fox,11,3,24.0,6,7,10.0,0.2112397828374944,4.5,5.0,10,7.0,0
Rick Fox,11,4,19.5,6,7,11.0,0.2283245767030342,7.0,6.0,9,7.0,0
Rick Fox,11,5,24.0,6,7,9.5,0.261137088042937,6.0,6.0,8,7.0,0
Rick Fox,11,6,30.0,6,7,8.0,0.2976826525903436,4.0,5.0,7,7.0,0
Rick Fox,11,7,34.5,6,7,10.0,0.1867642557020949,6.0,6.0,6,7.0,1
Kurt Warner,11,1,19.0,5,8,11.5,0.1736507553751378,4.0,6.0,12,8.0,0
Kurt Warner,11,2,21.0,5,8,10.0,0.1943979424342746,4.0,5.0,11,8.0,0
Kurt Warner,11,3,23.0,5,8,11.5,0.210224736115764,6.5,6.0,10,8.0,0
Kurt Warner,11,4,17.0,5,8,10.0,0.2220292000399542,5.0,7.0,9,8.0,0
Kurt Warner,11,5,24.0,5,8,7.5,0.2683660341665795,2.0,3.0,8,8.0,0
Kurt Warner,11,6,21.9999,5,8,9.0,0.2851397567679644,6.0,6.0,7,8.0,0
Kurt Warner,11,7,35.0,5,8,7.0,0.3534764782551903,4.0,4.0,6,8.0,0
Kurt Warner,11,8,24.0,5,8,8.0,0.2349238912538519,5.0,5.0,5,8.0,1
Margaret Cho,11,1,15.0,10,3,19.0,0.1538839946168418,11.0,11.0,12,3.0,0
Margaret Cho,11,2,18.0,10,3,15.5,0.1784539436080993,9.0,10.0,11,3.0,0
Margaret Cho,11,3,18.0,10,3,20.0,0.0905132834863949,10.0,10.0,10,3.0,1
Michael Bolton,11,1,16.0,11,2,16.0,0.1586800611618683,10.0,9.0,12,2.0,0
Michael Bolton,11,2,12.0,11,2,22.0,0.0628909890574018,11.0,11.0,11,2.0,1
Brandy,11,1,23.0,4,9,12.5,0.1864543542211115,5.5,3.0,12,9.0,0
Brandy,11,2,21.0,4,9,13.0,0.1916854458834316,6.0,6.0,11,9.0,0
Brandy,11,3,24.0,4,9,12.0,0.2090970842023861,8.0,7.0,10,9.0,0
Brandy,11,4,24.0,4,9,9.0,0.2493698826879951,3.5,2.0,9,9.0,0
Brandy,11,5,27.0,4,9,8.0,0.2769346937032707,3.0,2.0,8,9.0,0
Brandy,11,6,35.9999,4,9,7.0,0.314341390231538,2.0,2.0,7,9.0,0
Brandy,11,7,36.5,4,9,6.5,0.3458924784689263,2.0,5.0,6,9.0,0
Brandy,11,8,28.5,4,9,6.5,0.2613975264695498,4.0,4.0,5,9.0,0
The Situation,11,1,15.0,9,4,15.0,0.1576374937811727,8.5,10.0,12,4.0,0
The Situation,11,2,18.0,9,4,14.5,0.1786021558118918,7.0,9.0,11,4.0,0
The Situation,11,3,20.0,9,4,12.5,0.1983645930542227,9.0,9.0,10,4.0,0
The Situation,11,4,14.0,9,4,18.0,0.089349275712961,9.0,9.0,9,4.0,1
Audrina Patridge,11,1,19.0,7,6,14.5,0.1701713025460886,7.0,8.0,12,6.0,0
Audrina Patridge,11,2,23.0,7,6,12.0,0.1974864752927015,5.0,4.0,11,6.0,0
Audrina Patridge,11,3,26.0,7,6,9.0,0.2201285015637326,3.0,3.0,10,6.0,0
Audrina Patridge,11,4,23.0,7,6,11.0,0.2406619972258687,7.0,4.0,9,6.0,0
Audrina Patridge,11,5,23.0,7,6,10.0,0.2585714900953693,7.0,7.0,8,6.0,0
Audrina Patridge,11,6,31.9998,7,6,9.0,0.168921261541513,6.0,7.0,7,6.0,1
Bristol Palin,11,1,18.0,3,10,8.5,0.1792456937102577,3.0,5.0,12,,0
Bristol Palin,11,2,22.0,3,10,4.5,0.2102513871160193,2.0,1.0,11,,0
Bristol Palin,11,3,19.0,3,10,10.0,0.2150796094709159,4.5,4.0,10,,0
Bristol Palin,11,4,16.0,3,10,9.0,0.2293845992531342,3.5,5.0,9,,0
Bristol Palin,11,5,18.0,3,10,9.0,0.2641631829568251,4.5,5.0,8,,0
Bristol Palin,11,6,27.9998,3,10,7.0,0.3176707387773633,2.0,1.0,7,,0
Bristol Palin,11,7,32.5,3,10,7.0,0.3835744888922114,4.0,1.0,6,,0
Bristol Palin,11,8,23.5,3,10,6.0,0.5060044860922155,3.0,1.0,5,,0
Bristol Palin,11,9,26.5,3,10,5.0,0.57563142584965,2.5,3.0,3,,0
Bristol Palin,11,10,25.666600000000003,3,10,4.0,0.6448931740752923,2.0,3.0,3,,0
Ralph Macchio,12,1,24.0,4,9,6.0,0.2058319055831887,3.0,2.0,11,9.0,0
Ralph Macchio,12,2,21.0,4,9,12.0,0.1924396744976443,6.5,5.0,11,9.0,0
Ralph Macchio,12,3,21.0,4,9,13.0,0.2057997360141698,6.0,6.0,10,9.0,0
Ralph Macchio,12,4,25.0,4,9,9.5,0.2379698989436607,4.0,4.0,9,9.0,0
Ralph Macchio,12,5,22.0,4,9,9.0,0.2609367852459647,4.5,6.0,8,9.0,0
Ralph Macchio,12,6,24.0,4,9,9.0,0.2983339881580523,5.0,6.0,7,9.0,0
Ralph Macchio,12,7,33.0,4,9,5.5,0.3870320564540966,3.0,4.0,6,9.0,0
Ralph Macchio,12,8,23.0,4,9,9.0,0.4139347973854023,4.0,4.0,4,9.0,0
Ralph Macchio,12,9,24.0,4,9,8.0,0.2592756419564987,4.0,4.0,4,9.0,1
Chelsea Kane,12,1,21.0,3,10,5.5,0.1992846854476448,2.0,3.0,11,,0
Chelsea Kane,12,2,18.0,3,10,9.5,0.1921098956832115,4.0,6.0,11,,0
Chelsea Kane,12,3,23.0,3,10,5.5,0.2232869513818173,2.0,2.0,10,,0
Chelsea Kane,12,4,26.0,3,10,5.0,0.2488070909448763,1.0,1.0,9,,0
Chelsea Kane,12,5,26.0,3,10,8.0,0.2737825770546889,3.0,2.0,8,,0
Chelsea Kane,12,6,28.0,3,10,5.5,0.3187544703564228,3.0,2.0,7,,0
Chelsea Kane,12,7,32.0,3,10,5.0,0.4082652202009956,2.0,2.0,6,,0
Chelsea Kane,12,8,27.5,3,10,3.0,0.4643517117120235,1.0,2.0,4,,0
Chelsea Kane,12,9,36.5,3,10,4.0,0.6115134718423975,2.0,1.0,4,,0
Chelsea Kane,12,10,29.666600000000003,3,10,3.5,0.6724615275051584,1.0,1.0,3,,0
Kirstie Alley,12,1,23.0,2,10,3.0,0.2094864733987487,1.0,1.0,11,,0
Kirstie Alley,12,2,20.0,2,10,6.0,0.2024357694891493,1.0,2.0,11,,0
Kirstie Alley,12,3,21.0,2,10,7.0,0.2178747925243218,3.0,4.0,10,,0
Kirstie Alley,12,4,22.0,2,10,9.0,0.2423028103548503,3.0,3.0,9,,0
Kirstie Alley,12,5,23.0,2,10,6.0,0.2707358333994381,2.0,3.0,8,,0
Kirstie Alley,12,6,26.0,2,10,5.0,0.3192635464952285,1.5,1.0,7,,0
Kirstie Alley,12,7,30.0,2,10,6.5,0.4157239362113416,4.0,1.0,6,,0
Kirstie Alley,12,8,26.5,2,10,4.0,0.4661634369439812,2.0,1.0,4,,0
Kirstie Alley,12,9,27.0,2,10,4.0,0.5569722149496397,2.0,3.0,4,,0
Kirstie Alley,12,10,27.9999,2,10,4.0,0.6609065354160746,2.0,3.0,3,,0
Hines Ward,12,1,21.0,1,10,6.5,0.1982769930838628,4.0,4.0,11,,0
Hines Ward,12,2,23.0,1,10,8.0,0.2042740300586766,2.0,1.0,11,,0
Hines Ward,12,3,25.0,1,10,4.5,0.2278740986209221,1.0,1.0,10,,0
Hines Ward,12,4,25.0,1,10,5.5,0.2450158826332136,2.0,2.0,9,,0
Hines Ward,12,5,27.0,1,10,5.0,0.2803212809315298,1.0,1.0,8,,0
Hines Ward,12,6,27.0,1,10,5.0,0.3161108926068732,1.5,3.0,7,,0
Hines Ward,12,7,33.0,1,10,4.5,0.3959543556485577,1.0,3.0,6,,0
Hines Ward,12,8,27.0,1,10,5.0,0.4555500539585929,3.0,3.0,4,,0
Hines Ward,12,9,30.0,1,10,4.0,0.5722386712514642,2.0,2.0,4,,0
Hines Ward,12,10,29.666600000000003,1,10,4.5,0.6666319370787671,3.0,2.0,3,,0
Sugar Ray Leonard,12,1,17.0,9,4,17.0,0.1700834624085782,9.5,9.0,11,4.0,0
Sugar Ray Leonard,12,2,17.0,9,4,14.0,0.1787917417843285,8.0,9.0,11,4.0,0
Sugar Ray Leonard,12,3,20.0,9,4,13.5,0.2018811819042149,7.0,8.0,10,4.0,0
Sugar Ray Leonard,12,4,21.0,9,4,17.0,0.1119103015791999,9.0,9.0,9,4.0,1
Chris Jericho,12,1,19.0,7,6,15.5,0.1772514935841853,7.0,7.0,11,6.0,0
Chris Jericho,12,2,23.0,7,6,12.0,0.1978021860615169,6.5,4.0,11,6.0,0
Chris Jericho,12,3,21.0,7,6,14.0,0.2041487438561258,8.0,7.0,10,6.0,0
Chris Jericho,12,4,23.0,7,6,10.0,0.230525871761999,5.5,5.0,9,6.0,0
Chris Jericho,12,5,26.0,7,6,9.0,0.2634776978437387,4.5,4.0,8,6.0,0
Chris Jericho,12,6,22.0,7,6,14.0,0.1419239314976043,7.0,7.0,7,6.0,1
Petra Nemcova,12,1,18.0,8,5,16.5,0.1745344668334244,8.0,8.0,11,5.0,0
Petra Nemcova,12,2,18.0,8,5,14.5,0.1798902243235623,9.0,8.0,11,5.0,0
Petra Nemcova,12,3,25.0,8,5,10.5,0.2211136074960971,5.0,3.0,10,5.0,0
Petra Nemcova,12,4,23.0,8,5,11.0,0.229231914543754,7.0,6.0,9,5.0,0
Petra Nemcova,12,5,22.0,8,5,15.0,0.1267728766095714,8.0,8.0,8,5.0,1
Mike Catherwood,12,1,13.0,11,2,22.0,0.1478101289900376,11.0,11.0,11,2.0,0
Mike Catherwood,12,2,17.0,11,2,21.0,0.0854126065300804,11.0,11.0,11,2.0,1
Romeo,12,1,19.0,5,8,11.5,0.1812903966467512,5.5,5.0,11,8.0,0
Romeo,12,2,23.0,5,8,11.0,0.1994820415972557,5.0,3.0,11,8.0,0
Romeo,12,3,20.0,5,8,14.5,0.2013378348690029,9.0,9.0,10,8.0,0
Romeo,12,4,23.0,5,8,13.0,0.2279736685157659,8.0,7.0,9,8.0,0
Romeo,12,5,26.0,5,8,10.0,0.2633839050813308,6.5,5.0,8,8.0,0
Romeo,12,6,28.0,5,8,7.5,0.3038891576324621,4.0,4.0,7,8.0,0
Romeo,12,7,30.0,5,8,10.5,0.1957167936198288,6.0,6.0,6,8.0,0
Wendy Williams,12,1,14.0,10,3,17.0,0.1570017642300988,9.5,10.0,11,3.0,0
Wendy Williams,12,2,17.0,10,3,15.0,0.1767877663275197,10.0,10.0,11,3.0,0
Wendy Williams,12,3,15.0,10,3,20.0,0.0802924522239573,10.0,10.0,10,3.0,1
Kendra Wilkinson,12,1,18.0,6,7,11.5,0.1791482297934792,5.5,6.0,11,7.0,0
Kendra Wilkinson,12,2,19.0,6,7,9.0,0.1905740636470543,3.0,7.0,11,7.0,0
Kendra Wilkinson,12,3,23.0,6,7,7.5,0.2163906011093707,4.0,5.0,10,7.0,0
Kendra Wilkinson,12,4,18.0,6,7,10.0,0.22626256072268,5.5,8.0,9,7.0,0
Kendra Wilkinson,12,5,22.0,6,7,10.0,0.2605890438337374,6.5,7.0,8,7.0,0
Kendra Wilkinson,12,6,25.0,6,7,10.0,0.3017240132533567,6.0,5.0,7,7.0,0
Kendra Wilkinson,12,7,30.5,6,7,10.0,0.1973076378651795,5.0,5.0,6,7.0,1
Elisabetta Canalis,13,1,15.0,11,2,19.0,0.1581269472149228,11.0,11.0,12,2.0,0
Elisabetta Canalis,13,2,21.0,11,2,16.5,0.0996309890928277,11.0,11.0,11,2.0,1
David Arquette,13,1,18.0,6,7,11.0,0.1745455485553361,4.0,5.0,12,7.0,0
David Arquette,13,2,18.0,6,7,12.5,0.1841391549933961,7.5,8.0,11,7.0,0
David Arquette,13,3,24.0,6,7,12.5,0.2081631992459783,8.0,7.0,10,7.0,0
David Arquette,13,4,23.0,6,7,13.0,0.2283340331576244,8.0,6.0,9,7.0,0
David Arquette,13,5,25.0,6,7,9.5,0.2658963777479639,5.5,5.0,8,7.0,0
David Arquette,13,6,23.0,6,7,9.0,0.2973627442585755,6.0,5.0,7,7.0,0
David Arquette,13,7,23.5,6,7,11.0,0.1830028276762285,6.0,6.0,6,7.0,1
Ricki Lake,13,1,20.0,3,10,7.0,0.1862150422106092,1.0,2.0,12,,0
Ricki Lake,13,2,23.0,3,10,9.0,0.2003965598282761,1.0,1.0,11,,0
Ricki Lake,13,3,27.0,3,10,9.0,0.2202609009768646,3.0,1.0,10,,0
Ricki Lake,13,4,29.0,3,10,7.0,0.2581008563236185,2.5,1.0,9,,0
Ricki Lake,13,5,24.0,3,10,8.5,0.2688439898864114,4.0,3.0,8,,0
Ricki Lake,13,6,29.0,3,10,5.5,0.3338135506669161,1.0,1.0,7,,0
Ricki Lake,13,7,26.5,3,10,6.0,0.3653979051485864,2.5,2.0,6,,0
Ricki Lake,13,8,26.0,3,10,4.5,0.4447860135611118,1.0,3.0,5,,0
Ricki Lake,13,9,33.4999,3,10,4.0,0.5861687011227628,2.0,2.0,4,,0
Ricki Lake,13,10,27.9999,3,10,4.0,0.6670206202366624,2.0,2.0,3,,0
J.R. Martinez,13,1,22.0,1,10,8.5,0.191590937323642,2.0,1.0,12,,0
J.R. Martinez,13,2,22.0,1,10,9.5,0.1969249686460928,2.0,2.0,11,,0
J.R. Martinez,13,3,26.0,1,10,7.5,0.2175987027705296,1.0,2.0,10,,0
J.R. Martinez,13,4,26.0,1,10,7.0,0.2457267945492746,2.5,2.0,9,,0
J.R. Martinez,13,5,28.0,1,10,7.0,0.2858694543208624,2.0,1.0,8,,0
J.R. Martinez,13,6,29.0,1,10,7.5,0.3325147854841523,4.0,2.0,7,,0
J.R. Martinez,13,7,24.0,1,10,6.0,0.3639924950254969,2.5,3.0,6,,0
J.R. Martinez,13,8,30.0,1,10,5.0,0.465033116809032,2.5,1.0,5,,0
J.R. Martinez,13,9,28.0,1,10,4.0,0.559121281369296,2.0,3.0,4,,0
J.R. Martinez,13,10,28.1665,1,10,5.0,0.6645203369909646,3.0,3.0,3,,0
Metta World Peace (Ron),13,1,14.0,12,1,24.0,0.0704356984987692,12.0,12.0,12,1.0,1
Hope Solo,13,1,21.0,4,9,12.0,0.1835544819881239,7.0,4.0,12,9.0,0
Hope Solo,13,2,19.0,4,9,10.0,0.1889330441303427,3.0,5.0,11,9.0,0
Hope Solo,13,3,24.0,4,9,9.5,0.2107778286276105,4.0,4.0,10,9.0,0
Hope Solo,13,4,24.0,4,9,10.5,0.2336374612145646,5.0,5.0,9,9.0,0
Hope Solo,13,5,24.0,4,9,9.5,0.2661158492863014,5.5,4.0,8,9.0,0
Hope Solo,13,6,20.0,4,9,8.0,0.2883415277949779,5.0,6.0,7,9.0,0
Hope Solo,13,7,25.0,4,9,7.0,0.3596347104476646,4.5,5.0,6,9.0,0
Hope Solo,13,8,26.0,4,9,5.5,0.4341645513117285,4.0,4.0,5,9.0,0
Hope Solo,13,9,24.4998,4,9,8.0,0.2622939723911747,4.0,4.0,4,9.0,1
Chynna Phillips,13,1,22.0,9,4,12.5,0.184319769329009,8.0,3.0,12,4.0,0
Chynna Phillips,13,2,21.0,9,4,14.5,0.1858931379493719,10.0,7.0,11,4.0,0
Chynna Phillips,13,3,26.0,9,4,11.5,0.2084004640380875,7.0,6.0,10,4.0,0
Chynna Phillips,13,4,21.0,9,4,16.0,0.1101516565820192,9.0,9.0,9,4.0,1
Kristin Cavallari,13,1,19.0,10,3,15.0,0.1725432321116939,10.0,6.0,12,3.0,0
Kristin Cavallari,13,2,22.0,10,3,12.5,0.1883716289897243,7.5,6.0,11,3.0,0
Kristin Cavallari,13,3,24.0,10,3,15.5,0.1082787160363664,10.0,10.0,10,3.0,1
Carson Kressley,13,1,17.0,8,5,13.5,0.1688170969610674,9.0,9.0,12,5.0,0
Carson Kressley,13,2,18.0,8,5,13.5,0.182817245870875,9.0,9.0,11,5.0,0
Carson Kressley,13,3,23.0,8,5,14.0,0.2039866951164025,9.0,8.0,10,5.0,0
Carson Kressley,13,4,20.0,8,5,12.0,0.2218607957507594,7.0,8.0,9,5.0,0
Carson Kressley,13,5,19.0,8,5,16.0,0.1153992381370509,8.0,8.0,8,5.0,1
Chaz Bono,13,1,17.0,7,6,11.5,0.1700222065837016,5.5,8.0,12,6.0,0
Chaz Bono,13,2,17.0,7,6,12.0,0.1815533306256557,6.0,10.0,11,6.0,0
Chaz Bono,13,3,18.0,7,6,11.0,0.1986096954838757,5.5,9.0,10,6.0,0
Chaz Bono,13,4,21.0,7,6,11.0,0.2252925940803204,6.0,7.0,9,6.0,0
Chaz Bono,13,5,21.0,7,6,10.0,0.2566025415853272,7.0,7.0,8,6.0,0
Chaz Bono,13,6,19.0,7,6,14.0,0.1324002764442598,7.0,7.0,7,6.0,1
Nancy Grace,13,1,16.0,5,8,11.5,0.168224970617723,5.5,10.0,12,8.0,0
Nancy Grace,13,2,21.0,5,8,11.5,0.1953067393487024,5.0,4.0,11,8.0,0
Nancy Grace,13,3,21.0,5,8,11.0,0.2096341209455777,5.5,5.0,10,8.0,0
Nancy Grace,13,4,21.0,5,8,8.0,0.2350378288374183,4.0,4.0,9,8.0,0
Nancy Grace,13,5,22.0,5,8,8.0,0.2625441190672133,3.0,6.0,8,8.0,0
Nancy Grace,13,6,24.0,5,8,6.0,0.3074238134378886,2.5,4.0,7,8.0,0
Nancy Grace,13,7,22.0,5,8,7.0,0.3620849003149216,4.5,4.0,6,8.0,0
Nancy Grace,13,8,22.0,5,8,10.0,0.2059809126823638,5.0,5.0,5,8.0,1
Rob Kardashian,13,1,16.0,2,10,10.5,0.1716040686054016,3.0,7.0,12,,0
Rob Kardashian,13,2,21.0,2,10,10.5,0.1960332005247349,4.0,3.0,11,,0
Rob Kardashian,13,3,24.0,2,10,8.5,0.2142896767587067,2.0,3.0,10,,0
Rob Kardashian,13,4,24.0,2,10,5.5,0.2418579795044002,1.0,3.0,9,,0
Rob Kardashian,13,5,25.0,2,10,3.5,0.2787284299688692,1.0,2.0,8,,0
Rob Kardashian,13,6,22.0,2,10,6.0,0.3081433019132297,2.5,3.0,7,,0
Rob Kardashian,13,7,25.5,2,10,5.0,0.365887161387102,1.0,1.0,6,,0
Rob Kardashian,13,8,25.5,2,10,5.0,0.450035405635764,2.5,2.0,5,,0
Rob Kardashian,13,9,32.4998,2,10,4.0,0.5924160451167668,2.0,1.0,4,,0
Rob Kardashian,13,10,28.3332,2,10,3.0,0.6684590427723731,1.0,1.0,3,,0
William Levy,14,1,24.0,3,10,7.0,0.1761498622915385,3.0,3.0,12,,0
William Levy,14,2,25.0,3,10,8.5,0.1859525172743232,4.0,3.0,12,,0
William Levy,14,3,28.0,3,10,8.0,0.197793767489611,3.0,2.0,11,,0
William Levy,14,4,22.0,3,10,8.0,0.2130060921162287,3.0,4.0,10,,0
William Levy,14,5,29.0,3,10,4.5,0.2558410173814257,2.0,2.0,9,,0
William Levy,14,6,36.0,3,10,6.0,0.2834192690853174,3.0,2.0,8,,0
William Levy,14,7,26.5,3,10,6.5,0.310630762001775,3.0,3.0,7,,0
William Levy,14,8,28.5,3,10,5.0,0.3968533604422787,2.0,4.0,6,,0
William Levy,14,9,29.0,3,10,5.0,0.5499746087511943,2.5,3.0,4,,0
William Levy,14,10,29.666600000000003,3,10,4.5,0.6665909145573865,3.0,2.0,3,,0
Jack Wagner,14,1,23.0,11,3,16.5,0.1636165780754813,9.0,9.0,12,3.0,0
Jack Wagner,14,2,21.0,11,3,17.5,0.1638999451365963,11.0,10.0,12,3.0,0
Jack Wagner,14,3,24.0,11,3,20.0,0.0921032901453545,11.0,11.0,11,3.0,1
Sherri Sheperd,14,1,23.0,10,4,14.5,0.1651237757603162,7.0,7.0,12,4.0,0
Sherri Sheperd,14,2,23.0,10,4,14.0,0.1724976487952637,7.0,6.0,12,4.0,0
Sherri Sheperd,14,3,24.0,10,4,18.0,0.182625944842455,10.0,10.0,11,4.0,0
Sherri Sheperd,14,4,21.0,10,4,19.0,0.0984234608857166,10.0,10.0,10,4.0,1
Jaleel White,14,1,26.0,7,7,6.5,0.1808690494354374,2.0,2.0,12,7.0,0
Jaleel White,14,2,22.0,7,7,17.0,0.167512773631844,9.5,8.0,12,7.0,0
Jaleel White,14,3,25.0,7,7,15.5,0.1857773880591177,9.0,7.0,11,7.0,0
Jaleel White,14,4,22.0,7,7,13.0,0.2031486841817412,8.5,8.0,10,7.0,0
Jaleel White,14,5,24.0,7,7,14.0,0.2240982210172174,8.0,6.0,9,7.0,0
Jaleel White,14,6,36.9998,7,7,9.0,0.2731522052191718,4.0,4.0,8,7.0,0
Jaleel White,14,7,25.5,7,7,13.0,0.1551337722074762,7.0,7.0,7,7.0,1
Roshon Fegan,14,1,23.0,6,8,15.5,0.1636241235821253,8.0,8.0,12,8.0,0
Roshon Fegan,14,2,26.0,6,8,12.5,0.1806711742457063,6.0,5.0,12,8.0,0
Roshon Fegan,14,3,25.0,6,8,12.5,0.1869268256775059,6.0,6.0,11,8.0,0
Roshon Fegan,14,4,26.0,6,8,11.5,0.2116504134834753,5.0,5.0,10,8.0,0
Roshon Fegan,14,5,26.0,6,8,12.0,0.2357282609469937,6.5,5.0,9,8.0,0
Roshon Fegan,14,6,27.9998,6,8,12.0,0.2485986601301635,7.0,7.0,8,8.0,0
Roshon Fegan,14,7,26.0,6,8,10.0,0.2991619254562743,6.0,6.0,7,8.0,0
Roshon Fegan,14,8,28.0,6,8,8.0,0.2019275418096151,5.0,5.0,6,8.0,1
Melissa Gilbert,14,1,20.0,5,8,18.0,0.1559676597669957,10.0,10.0,12,8.0,0
Melissa Gilbert,14,2,20.0,5,8,11.0,0.1693169612017644,5.0,7.0,12,8.0,0
Melissa Gilbert,14,3,24.0,5,8,10.0,0.1902446990965457,4.0,5.0,11,8.0,0
Melissa Gilbert,14,4,22.0,5,8,12.0,0.2066076326649062,6.5,6.0,10,8.0,0
Melissa Gilbert,14,5,21.0,5,8,10.0,0.2215864118224237,5.0,7.0,9,8.0,0
Melissa Gilbert,14,6,30.0,5,8,11.0,0.2542450468479989,6.0,6.0,8,8.0,0
Melissa Gilbert,14,7,23.5,5,8,8.0,0.3104668618720697,5.0,4.0,7,8.0,0
Melissa Gilbert,14,8,25.5,5,8,11.0,0.1946557259316302,6.0,6.0,6,8.0,1
Martina Navratilova,14,1,20.0,12,2,23.0,0.1505127555971199,12.0,12.0,12,2.0,0
Martina Navratilova,14,2,17.0,12,2,24.0,0.0696105073431559,12.0,12.0,12,2.0,1
Donald Driver,14,1,21.0,1,10,10.5,0.1680559952440414,4.0,4.0,12,,0
Donald Driver,14,2,24.0,1,10,7.0,0.1831774333198159,3.0,4.0,12,,0
Donald Driver,14,3,26.0,1,10,6.0,0.1963095944386002,2.0,3.0,11,,0
Donald Driver,14,4,27.0,1,10,5.0,0.2283277448583721,1.0,1.0,10,,0
Donald Driver,14,5,27.0,1,10,7.5,0.2462568938686291,3.0,3.0,9,,0
Donald Driver,14,6,33.9999,1,10,5.0,0.2782650391878494,2.0,3.0,8,,0
Donald Driver,14,7,26.5,1,10,5.5,0.3107836480782845,1.0,2.0,7,,0
Donald Driver,14,8,27.5,1,10,4.5,0.4048578833876348,1.0,1.0,6,,0
Donald Driver,14,9,28.5,1,10,5.0,0.5656502643118982,2.5,2.0,4,,0
Donald Driver,14,10,29.666600000000003,1,10,3.5,0.6671399124268644,1.0,1.0,3,,0
Gavin DeGraw,14,1,20.0,9,5,19.0,0.15472221856818,11.0,11.0,12,5.0,0
Gavin DeGraw,14,2,21.0,9,5,15.5,0.1673747145150732,8.0,9.0,12,5.0,0
Gavin DeGraw,14,3,24.0,9,5,14.0,0.184046527189361,8.0,9.0,11,5.0,0
Gavin DeGraw,14,4,23.0,9,5,12.0,0.2038605433449368,6.5,7.0,10,5.0,0
Gavin DeGraw,14,5,19.0,9,5,18.0,0.0964027888054562,9.0,9.0,9,5.0,1
Gladys Knight,14,1,23.0,8,6,11.5,0.1676532751283244,5.5,5.0,12,6.0,0
Gladys Knight,14,2,19.0,8,6,17.0,0.1630667483156767,9.5,11.0,12,6.0,0
Gladys Knight,14,3,24.0,8,6,13.0,0.1846699379905816,7.0,8.0,11,6.0,0
Gladys Knight,14,4,20.0,8,6,13.0,0.2000265857657043,8.5,9.0,10,6.0,0
Gladys Knight,14,5,22.0,8,6,12.0,0.2198860136257509,6.5,8.0,9,6.0,0
Gladys Knight,14,6,24.0,8,6,16.0,0.1078374520798556,8.0,8.0,8,6.0,1
Katherine Jenkins,14,1,26.0,2,10,2.5,0.1868044250587979,1.0,1.0,12,,0
Katherine Jenkins,14,2,26.0,2,10,5.5,0.1903174786977703,1.0,1.0,12,,0
Katherine Jenkins,14,3,29.0,2,10,4.0,0.2054462454545197,1.0,1.0,11,,0
Katherine Jenkins,14,4,24.0,2,10,6.0,0.2198480590878138,2.0,2.0,10,,0
Katherine Jenkins,14,5,29.0,2,10,2.5,0.259244705218819,1.0,1.0,9,,0
Katherine Jenkins,14,6,38.9999,2,10,3.0,0.297066413703072,1.0,1.0,8,,0
Katherine Jenkins,14,7,27.0,2,10,6.0,0.3112325198908799,2.0,1.0,7,,0
Katherine Jenkins,14,8,27.5,2,10,6.5,0.4033144021226406,3.0,2.0,6,,0
Katherine Jenkins,14,9,28.0,2,10,5.0,0.5850035390329319,2.5,1.0,4,,0
Katherine Jenkins,14,10,30.0,2,10,4.0,0.6662691730157493,2.0,3.0,3,,0
Maria Menounos,14,1,21.0,4,9,11.5,0.1669002814916416,5.5,6.0,12,9.0,0
Maria Menounos,14,2,25.0,4,9,6.5,0.1866020975230095,2.0,2.0,12,9.0,0
Maria Menounos,14,3,27.0,4,9,11.0,0.1940557796163475,5.0,4.0,11,9.0,0
Maria Menounos,14,4,26.0,4,9,10.5,0.2151007836111046,4.0,3.0,10,9.0,0
Maria Menounos,14,5,27.0,4,9,9.5,0.2409556873132843,4.0,4.0,9,9.0,0
Maria Menounos,14,6,29.9999,4,9,10.0,0.2574159137465712,5.0,5.0,8,9.0,0
Maria Menounos,14,7,28.5,4,9,7.0,0.3025905104932401,4.0,5.0,7,9.0,0
Maria Menounos,14,8,26.5,4,9,7.0,0.3983910863062005,4.0,3.0,6,9.0,0
Maria Menounos,14,9,29.5,4,9,5.0,0.2993715879039755,2.5,4.0,4,9.0,1
Gilles Marini,15,1,24.0,6,8,13.0,0.1681006476137937,7.0,6.0,13,8.0,0
Gilles Marini,15,2,25.5,6,8,11.0,0.1837171272916339,4.5,5.0,11,8.0,0
