celebrity_name,season,week,judge_score,placement,weeks_participated,method1_combined_rank,method2_combined_pct,method1_pos,method2_pos,n_contestants,eliminated_week,is_eliminated,dist_method1,dist_method2
Jessie James Decker,31,6,32.0,10,6,19.0,0.1187247696889011,10.0,10.0,10,6.0,1,0.0,0.0
Jordin Sparks,31,7,34.5,9,7,17.0,0.1383888294884823,9.0,9.0,9,7.0,1,0.0,0.0
Heidi D'Amelio,31,8,35.0,8,8,15.0,0.1518178150791189,7.5,8.0,8,8.0,1,0.5,0.0
Daniel Durant,31,9,34.5,5,9,11.0,0.2377249238909882,5.5,5.0,6,9.0,1,0.5,1.0
Shangela,31,10,38.0,4,10,7.5,0.4455588877963298,4.0,4.0,4,10.0,1,0.0,0.0
Matt Walsh,32,1,12.0,14,1,27.0,0.0616852597486843,14.0,14.0,14,1.0,1,0.0,0.0
Jamie Lynn Spears,32,2,16.0,13,2,22.0,0.0765024613077552,12.0,13.0,13,2.0,1,1.0,0.0
Tyson Beckford,32,3,20.0,12,3,24.0,0.0735669990916124,12.0,12.0,12,3.0,1,0.0,0.0
Adrian Peterson,32,4,21.0,11,4,18.0,0.1006478650360255,9.0,11.0,11,4.0,1,2.0,0.0
Mira Sorvino,32,5,22.0,10,5,18.0,0.1096719089442425,10.0,10.0,10,5.0,1,0.0,0.0
Mauricio Umansky,32,6,33.0,9,6,15.0,0.1237822024031286,9.0,9.0,9,6.0,1,0.0,0.0
Lele Pons,32,7,36.5,8,7,11.0,0.1484429235073516,5.0,8.0,8,7.0,1,3.0,0.0
Barry Williams,32,8,35.0,7,8,12.0,0.1749391324997686,6.5,7.0,7,8.0,1,0.5,0.0
Harry Jowsey,32,9,30.0,6,9,12.0,0.213317472677942,6.0,6.0,6,9.0,1,0.0,0.0
Alyson Hannigan,32,11,26.5,5,11,10.0,0.3347235013871937,5.0,5.0,5,11.0,1,0.0,0.0
Anna Delvey,33,2,17.0,12,2,23.5,0.0741786568514602,13.0,13.0,13,2.0,1,0.0,0.0
Eric Roberts,33,3,23.0,10,3,20.5,0.0949241948262358,10.0,10.0,11,3.0,1,1.0,1.0
Brooks Nader,33,4,32.0,9,4,15.0,0.1274932983521921,8.0,9.0,9,4.0,1,1.0,0.0
Phaedra Parks,33,5,24.0,8,5,15.0,0.1488877189965889,8.0,8.0,8,5.0,1,0.0,0.0
Jenn Tran,33,6,31.0,7,6,10.5,0.1864091312589151,5.5,7.0,7,6.0,1,1.5,0.0
Dwight Howard ,33,7,24.0,6,7,12.0,0.2177860294511433,6.0,6.0,6,7.0,1,0.0,0.0
Danny Amendola,33,9,28.0,5,9,10.0,0.3394431019510388,5.0,5.0,5,9.0,1,0.0,0.0
Baron Davis,34,2,18.0,13,2,25.0,0.0774280476978718,13.0,13.0,14,2.0,1,1.0,1.0
Lauren Jauregui,34,3,18.0,12,3,23.5,0.0860271168142532,12.0,12.0,12,3.0,1,0.0,0.0
Hilaria Baldwin,34,4,23.0,11,4,17.0,0.103166913734287,8.0,11.0,11,4.0,1,3.0,0.0
Scott Hoying,34,6,28.0,10,6,19.0,0.1065599570625391,10.0,10.0,10,6.0,1,0.0,0.0
Jen Affleck,34,7,34.0,9,7,16.0,0.1270885821475326,9.0,9.0,9,7.0,1,0.0,0.0
Danielle Fishel,34,8,37.0,8,8,15.0,0.15617522674058,8.0,8.0,8,8.0,1,0.0,0.0
Andy Richter,34,9,29.0,7,9,14.0,0.1587645852397526,7.0,7.0,7,9.0,1,0.0,0.0
Whitney Leavitt,34,10,29.0,6,10,8.5,0.2045794168380914,4.0,6.0,6,10.0,1,2.0,0.0
Dylan Efron,34,11,29.3332,4,11,8.0,0.3454572524176384,4.0,4.0,5,11.0,1,1.0,1.0
