celebrity_name,season,week,judge_score,placement,weeks_participated,results,fan_votes,data_source,fan_vote_rank,judge_score_rank,method1_total_rank,method1_pos,judge_share,fan_share,method2_total_share,method2_pos,eliminated_week,is_eliminated,n_week,dist_method1,dist_method2
Bill Engvall,17,11,25.4999,4,11,Eliminated Week 11,1.185556246,pct,3.0,4.0,7.0,4.0,0.22270771724567986,0.24887517160089365,0.4715828888465735,4.0,11.0,1,4,0.0,0.0
Diana Nyad,18,1,18.0,12,1,Eliminated Week 2,2.059010362,pct,12.0,11.0,23.0,11.5,0.06870229007633588,0.07166413442959854,0.14036642450593442,12.0,1.0,1,12,0.5,0.0
Billy Dee Williams,18,2,15.0,10,2,Withdrew,2.045257382,pct,10.0,11.0,21.0,11.0,0.06147540983606557,0.08341701582393446,0.14489242566000005,11.0,2.0,1,11,0.0,0.0
Cody Simpson,18,5,34.0,9,5,Eliminated Week 5,1.464498257,pct,9.0,8.0,17.0,9.0,0.10559006211180125,0.09126201077875525,0.1968520728905565,9.0,5.0,1,9,0.0,0.0
Drew Carey,18,6,32.0,8,6,Eliminated Week 6,1.391623624,pct,8.0,7.5,15.5,8.0,0.11347517730496454,0.10511727566267294,0.21859245296763746,8.0,6.0,1,8,0.0,0.0
NeNe Leakes,18,7,33.0,7,7,Eliminated Week 7,1.304804151,pct,7.0,7.0,14.0,7.0,0.13043478260869565,0.12124274660212044,0.2516775292108161,7.0,7.0,1,7,0.0,0.0
Danica McKellar,18,8,38.0,6,8,Eliminated Week 8,1.117439064,pct,6.0,3.0,9.0,6.0,0.168141592920354,0.13092190273844895,0.29906349565880297,6.0,8.0,1,6,0.0,0.0
Charlie White,18,9,38.0,5,9,Eliminated Week 9,1.077671545,pct,5.0,3.5,8.5,5.0,0.19895287958115182,0.1617469698141028,0.3606998493952546,5.0,9.0,1,5,0.0,0.0
James Maslow,18,10,29.0,4,10,Eliminated Week 10,1.26534653,pct,2.0,3.0,5.0,2.5,0.2529075649013137,0.25195308966552504,0.5048606545668388,3.0,10.0,1,4,1.5,1.0
Lolo Jones,19,1,22.0,13,1,Eliminated Week 1,2.092748727,pct,13.0,12.0,25.0,13.0,0.05913978494623656,0.06699532203153054,0.1261351069777671,13.0,1.0,1,13,0.0,0.0
Tavis Smiley,19,2,28.0,12,2,Eliminated Week 2,1.854737968,pct,12.0,9.5,21.5,12.0,0.07734806629834254,0.06927517499291644,0.14662324129125898,12.0,2.0,1,12,0.0,0.0
Randy Couture,19,3,26.0,11,3,Eliminated Week 3,1.779846969,pct,11.0,11.0,22.0,11.0,0.07365439093484419,0.07781287249350213,0.15146726342834632,11.0,3.0,1,11,0.0,0.0
Betsey Johnson,19,4,29.0,10,4,Eliminated Week 4,1.559212661,pct,10.0,6.5,16.5,10.0,0.090625,0.08085522449209571,0.1714802244920957,10.0,4.0,1,10,0.0,0.0
Jonathan Bennett,19,6,32.0,9,6,Eliminated Week 6,1.305269797,pct,9.0,5.5,14.5,8.5,0.10921501706484642,0.08713789423908193,0.19635291130392835,9.0,6.0,1,9,0.5,0.0
Antonio Sabato Jr.,19,7,29.5,8,7,Eliminated Week 7,1.262722338,pct,8.0,7.0,15.0,8.0,0.11411992263056092,0.10195485031732808,0.21607477294788902,8.0,7.0,1,8,0.0,0.0
Michael Waltrip,19,8,25.0,7,8,Eliminated Week 8,1.332043895,pct,7.0,7.0,14.0,7.0,0.10080645161290322,0.13148913624181457,0.2322955878547178,7.0,8.0,1,7,0.0,0.0
Lea Thompson,19,9,35.0,6,9,Eliminated Week 9,1.002988867,pct,6.0,5.0,11.0,6.0,0.16355140186915887,0.12518498895991687,0.28873639082907576,6.0,9.0,1,6,0.0,0.0
Tommy Chong,19,10,31.0,5,10,Eliminated Week 10,1.127575225,pct,5.0,5.0,10.0,5.0,0.16986301369863013,0.17783472173695922,0.34769773543558935,5.0,10.0,1,5,0.0,0.0
Bethany Mota,19,11,38.0,4,11,Eliminated Week 11,1.27159526,pct,1.0,4.0,5.0,2.5,0.24307088074814653,0.2621783066551744,0.5052491874033209,2.0,11.0,1,4,1.5,2.0
Redfoo,20,2,31.0,12,2,Eliminated Week 2,1.777174761,pct,12.0,5.0,17.0,10.0,0.0893371757925072,0.06449034998050628,0.15382752577301348,10.0,2.0,1,12,2.0,2.0
Charlotte McKinney,20,3,22.0,11,3,Eliminated Week 3,1.733137586,pct,11.0,10.5,21.5,11.0,0.07028753993610223,0.07324195514109773,0.14352949507719998,11.0,3.0,1,11,0.0,0.0
Michael Sam,20,4,30.0,10,4,Eliminated Week 4,1.60899262,pct,10.0,7.5,17.5,10.0,0.09230769230769231,0.07974152211710557,0.17204921442479787,10.0,4.0,1,10,0.0,0.0
Suzanne Somers,20,5,28.0,9,5,Eliminated Week 5,1.459261141,pct,9.0,5.5,14.5,8.0,0.0989399293286219,0.08592630235740509,0.184866231686027,9.0,5.0,1,9,1.0,0.0
Patti LaBelle,20,6,34.0,8,6,Eliminated Week 6,1.346331028,pct,8.0,6.5,14.5,8.0,0.12014134275618374,0.0945771368297734,0.21471847958595713,8.0,6.0,1,8,0.0,0.0
Willow Shields,20,7,39.0,7,7,Eliminated Week 7,1.179305035,pct,7.0,2.0,9.0,5.0,0.15354330708661418,0.10009020077991834,0.2536335078665325,7.0,7.0,1,7,2.0,0.0
Chris Soules,20,8,32.0,5,8,Eliminated Week 8,1.367804684,pct,6.0,4.0,10.0,5.0,0.15130023640661938,0.14242547824582263,0.293725714652442,5.0,8.0,1,6,1.0,1.0
Nastia Liukin,20,9,40.0,4,9,Eliminated Week 9,1.147629576,pct,4.0,1.5,5.5,4.0,0.25477707006369427,0.18315022436182077,0.43792729442551503,4.0,9.0,1,4,0.0,0.0
Chaka Khan,21,2,15.0,13,2,Eliminated Week 2,2.027059849,pct,11.0,13.0,24.0,13.0,0.05545286506469501,0.06789767619573274,0.12335054126042774,13.0,2.0,1,13,0.0,0.0
Gary Busey,21,4,16.0,10,4,Eliminated Week 4,1.703402539,pct,10.0,10.0,20.0,10.0,0.06779661016949153,0.0844881974632011,0.15228480763269264,10.0,4.0,1,10,0.0,0.0
Paula Deen,21,6,24.0,9,6,Eliminated Week 6,1.499127843,pct,9.0,9.0,18.0,9.0,0.07667731629392971,0.09449131735231614,0.17116863364624585,9.0,6.0,1,9,0.0,0.0
Hayes Grier,21,7,28.0,8,7,Eliminated Week 7,1.241185561,pct,8.0,3.0,11.0,6.0,0.12669683257918551,0.09404305419935484,0.22073988677854034,8.0,7.0,1,8,2.0,0.0
Andy Grammer,21,8,23.9998,7,8,Eliminated Week 8,1.243475149,pct,7.0,7.0,14.0,7.0,0.1237106918887378,0.11463133812637577,0.23834203001511356,7.0,8.0,1,7,0.0,0.0
Alexa PenaVega,21,9,30.0,6,9,Eliminated Week 9,1.062998984,pct,6.0,1.5,7.5,5.0,0.182370820668693,0.12074127382400757,0.3031120944927006,5.0,9.0,1,6,1.0,1.0
Carlos PenaVega,21,11,30.0,4,11,Eliminated Week 11,1.193465566,pct,3.0,2.0,5.0,2.5,0.25423750359110475,0.21296174595897957,0.4671992495500843,3.0,11.0,1,4,1.5,1.0
Geraldo Rivera,22,2,13.0,12,2,Eliminated Week 2,1.605866894,pct,12.0,12.0,24.0,12.0,0.05508474576271186,0.05903750959049814,0.11412225535321,12.0,2.0,1,12,0.0,0.0
Mischa Barton,22,3,18.0,11,3,Eliminated Week 3,1.81759555,pct,11.0,11.0,22.0,11.0,0.0759493670886076,0.0766157939522449,0.1525651610408525,11.0,3.0,1,11,0.0,0.0
Marla Maples,22,4,28.0,10,4,Eliminated Week 4,1.624603793,pct,10.0,8.0,18.0,10.0,0.0877742946708464,0.08080422673056994,0.16857852140141633,10.0,4.0,1,10,0.0,0.0
Doug Flutie,22,6,21.0,9,6,Eliminated Week 6,1.418083814,pct,9.0,9.0,18.0,9.0,0.09251101321585903,0.09016254395146668,0.1826735571673257,9.0,6.0,1,9,0.0,0.0
Kim Fields,22,7,26.0,8,7,Eliminated Week 7,1.29779328,pct,8.0,6.0,14.0,8.0,0.12149532710280374,0.09928473031020996,0.2207800574130137,8.0,7.0,1,8,0.0,0.0
Jodie Sweetin,22,8,30.0,6,8,Eliminated Week 8,1.046845052,pct,6.0,1.5,7.5,4.0,0.17751479289940827,0.11247410983445974,0.289988902733868,6.0,8.0,1,6,2.0,0.0
Antonio Brown,22,9,27.5,5,9,Eliminated Week 9,1.211822295,pct,4.0,5.0,9.0,5.0,0.1916376306620209,0.1637630423104746,0.3554006729724955,5.0,9.0,1,5,0.0,0.0
Jake T. Austin,23,2,24.0,13,2,Eliminated Week 2,1.870821503,pct,13.0,11.0,24.0,12.5,0.06818181818181818,0.06456384556509487,0.13274566374691305,13.0,2.0,1,13,0.5,0.0
Rick Perry,23,3,23.0,12,3,Eliminated Week 3,1.685066886,pct,12.0,11.5,23.5,12.0,0.07076923076923076,0.06794417867829465,0.13871340944752542,12.0,3.0,1,12,0.0,0.0
Babyface,23,4,18.0,11,4,Eliminated Week 4,1.705322615,pct,10.0,11.0,21.0,11.0,0.06896551724137931,0.08045616129796627,0.14942167853934557,11.0,4.0,1,11,0.0,0.0
Amber Rose,23,6,28.0,9,6,Eliminated Week 6,1.351768379,pct,9.0,9.0,18.0,9.0,0.09180327868852459,0.08997443644593381,0.1817777151344584,9.0,6.0,1,9,0.0,0.0
Maureen McCormick,23,7,33.0,8,7,Eliminated Week 7,1.239517931,pct,8.0,6.5,14.5,7.0,0.11978221415607986,0.09902397671537608,0.21880619087145592,8.0,7.0,1,8,1.0,0.0
Ryan Lochte,23,8,26.0,7,8,Eliminated Week 8,1.166203068,pct,7.0,5.0,12.0,7.0,0.12935336254065924,0.11404934600754937,0.2434027085482086,7.0,8.0,1,7,0.0,0.0
Marilu Henner,23,9,36.0,6,9,Eliminated Week 9,1.096474308,pct,6.0,5.5,11.5,6.0,0.15859030837004406,0.1338705698733674,0.2924608782434115,6.0,9.0,1,6,0.0,0.0
Terra Jole,23,10,30.0,5,10,Eliminated Week 10,0.984917012,pct,5.0,1.5,6.5,3.0,0.20477815699658702,0.15308835303245488,0.3578665100290419,5.0,10.0,1,5,2.0,0.0
Jana Kramer,23,11,35.5,4,11,Eliminated Week 11,1.149776297,pct,4.0,4.0,8.0,4.0,0.2332976924558098,0.23468527354589583,0.46798296600170564,4.0,11.0,1,4,0.0,0.0
Chris Kattan,24,2,22.0,12,2,Eliminated Week 2,1.993859215,pct,12.0,11.5,23.5,12.0,0.06707317073170732,0.07320528413798488,0.1402784548696922,12.0,2.0,1,12,0.0,0.0
Charo,24,3,24.0,11,3,Eliminated Week 3,1.79252487,pct,11.0,10.0,21.0,11.0,0.0761904761904762,0.07735681681638869,0.15354729300686487,11.0,3.0,1,11,0.0,0.0
Mr. T,24,4,28.0,10,4,Eliminated Week 4,1.66157744,pct,10.0,10.0,20.0,10.0,0.08588957055214724,0.08477632961481583,0.1706659001669631,10.0,4.0,1,10,0.0,0.0
Erika Jayne,24,5,32.0,9,5,Eliminated Week 5,1.493578379,pct,9.0,6.5,15.5,9.0,0.10526315789473684,0.09104356751763609,0.19630672541237293,9.0,5.0,1,9,0.0,0.0
Heather Morris,24,6,37.0,8,6,Eliminated Week 6,1.2829598,pct,8.0,1.0,9.0,5.5,0.137546468401487,0.09485421673933593,0.2324006851408229,8.0,6.0,1,8,2.5,0.0
Nancy Kerrigan,24,7,36.0,7,7,Eliminated Week 7,1.313479523,pct,7.0,4.0,11.0,6.5,0.1422924901185771,0.11970110661464095,0.26199359673321804,6.0,7.0,1,7,0.5,1.0
Bonner Bolton,24,8,29.0,5,8,Eliminated Week 8,1.371802449,pct,5.0,5.0,10.0,5.0,0.166189111747851,0.18676719368186584,0.35295630542971684,5.0,8.0,1,5,0.0,0.0
Simone Biles,24,9,40.0,4,9,Eliminated Week 9,1.032634549,pct,4.0,1.0,5.0,2.5,0.264026402640264,0.19163780803649486,0.4556642106767589,4.0,9.0,1,4,1.5,0.0
Barbara Corcoran,25,2,17.0,13,2,Eliminated Week 2,2.045787381,pct,12.0,13.0,25.0,13.0,0.062157221206581355,0.06721578703738369,0.12937300824396505,13.0,2.0,1,13,0.0,0.0
Derek Fisher,25,4,23.0,11,4,Eliminated Week 4,1.641877001,pct,11.0,10.0,21.0,10.5,0.08487084870848709,0.0729803780367765,0.15785122674526358,11.0,4.0,1,11,0.5,0.0
Sasha Pieterse,25,5,24.0,10,5,Eliminated Week 5,1.527265226,pct,10.0,8.5,18.5,9.0,0.09195402298850575,0.0799882278362487,0.17194225082475445,10.0,5.0,1,10,1.0,0.0
Nick Lachey,25,6,26.0,9,6,Eliminated Week 6,1.480886232,pct,9.0,9.0,18.0,9.0,0.08496732026143791,0.09213362849055591,0.17710094875199384,9.0,6.0,1,9,0.0,0.0
Nikki Bella,25,7,24.0,8,7,Eliminated Week 7,1.411864117,pct,7.0,8.0,15.0,8.0,0.11162790697674418,0.10546157677732643,0.2170894837540706,8.0,7.0,1,8,0.0,0.0
Terrell Owens,25,8,25.5,6,8,Eliminated Week 8,1.192698575,pct,6.0,4.0,10.0,6.0,0.16293929712460065,0.12474386648958796,0.2876831636141886,6.0,8.0,1,6,0.0,0.0
Victoria Arlen,25,9,28.0,5,9,Eliminated Week 9,1.063028083,pct,5.0,3.0,8.0,5.0,0.2074074074074074,0.14026171505982088,0.34766912246722825,5.0,9.0,1,5,0.0,0.0
Drew Scott,25,10,37.5,4,10,Eliminated Week 10,1.285223863,pct,3.0,4.0,7.0,3.5,0.2397871457464638,0.21799542107220238,0.45778256681866614,4.0,10.0,1,4,0.5,0.0
Jamie Anderson,26,1,19.0,10,1,Eliminated Week 1,2.224611997,pct,10.0,8.0,18.0,9.5,0.09047619047619047,0.09027571405149575,0.18075190452768622,9.0,1.0,1,10,0.5,1.0
Arike Ogunbowale,26,2,35.0,7,2,Eliminated Week 2,2.003324907,pct,8.0,3.0,11.0,7.0,0.1308411214953271,0.10920758520906634,0.24004870670439343,7.0,2.0,1,8,1.0,1.0
Chris Mazdzer,26,3,33.0,5,3,Eliminated Week 3,2.053619477,pct,5.0,5.0,10.0,5.5,0.15639810426540285,0.1595844030397532,0.31598250730515604,5.0,3.0,1,6,0.5,1.0
Nikki Glaser,27,1,17.5,13,1,Eliminated Week 1,2.135521351,pct,13.0,12.0,25.0,13.0,0.06862745098039216,0.0665005264538536,0.13512797743424576,12.0,1.0,1,13,0.0,1.0
Danelle Umstead,27,2,18.5,12,2,Eliminated Week 2,1.991562729,pct,12.0,11.0,23.0,12.0,0.06839186691312385,0.07227132887002508,0.14066319578314893,12.0,2.0,1,12,0.0,0.0
Nancy McKeon,27,3,22.0,11,3,Eliminated Week 3,1.797269297,pct,11.0,9.0,20.0,11.0,0.08118081180811808,0.07644698076785929,0.15762779257597737,11.0,3.0,1,11,0.0,0.0
Tinashe,27,4,26.0,10,4,Eliminated Week 4,1.510305978,pct,10.0,2.5,12.5,7.5,0.11206896551724138,0.07615006038447483,0.1882190259017162,9.0,4.0,1,10,2.5,1.0
Mary Lou Retton,27,6,24.0,9,6,Eliminated Week 6,1.358365822,pct,9.0,6.0,15.0,9.0,0.10480349344978165,0.08809396417132882,0.1928974576211105,9.0,6.0,1,9,0.0,0.0
DeMarcus Ware,27,7,26.5,7,7,Eliminated Week 7,1.343225109,pct,7.0,6.5,13.5,8.0,0.12183908045977011,0.10563101353527699,0.22747009399504708,8.0,7.0,1,8,0.0,0.0
Joe Amabile,27,8,23.0,6,8,Eliminated Week 8,1.393105351,pct,5.0,5.0,10.0,6.0,0.14285714285714285,0.15664126828790662,0.2994984111450495,6.0,8.0,1,6,0.0,0.0
Alexis Ren,27,9,28.5,4,9,4th Place,1.464692273,pct,1.0,3.0,4.0,2.0,0.24675324675324675,0.2604397219859741,0.5071929687392208,2.0,9.0,1,4,2.0,2.0
Mary Wilson,28,2,15.0,12,2,Eliminated Week 2,2.718041623,rank,12.0,10.5,22.5,12.0,0.0684931506849315,0.013440067107916195,0.08193321779284769,12.0,2.0,1,12,0.0,0.0
Lamar Odom,28,4,20.0,10,4,Eliminated Week 4,3.264401343,rank,10.0,10.0,20.0,10.0,0.07092198581560284,0.024940022886219698,0.09586200870182254,10.0,4.0,1,10,0.0,0.0
Sailor Brinkley-Cook,28,6,27.0,9,6,Eliminated Week 6,1.155700773,rank,9.0,2.0,11.0,7.0,0.11842105263157894,0.015883121220313982,0.13430417385189292,9.0,6.0,1,9,2.0,0.0
Karamo Brown,28,7,24.5,8,7,Eliminated Week 7,1.668295512,rank,8.0,6.0,14.0,7.0,0.12128712871287128,0.024949713868961942,0.14623684258183323,8.0,7.0,1,8,1.0,0.0
Kate Flannery,28,8,25.9998,7,8,Eliminated Week 8,1.862904509,rank,7.0,5.0,12.0,6.5,0.13471454803957736,0.03522386237218716,0.16993841041176452,7.0,8.0,1,7,0.5,0.0
Sean Spicer,28,9,25.0,6,9,Eliminated Week 9,3.335476088,rank,6.0,6.0,12.0,6.0,0.11990407673860912,0.07558917168466178,0.1954932484232709,6.0,9.0,1,6,0.0,0.0
James Van Der Beek,28,10,25.5,5,10,Eliminated Week 10,2.634584306,rank,5.0,5.0,10.0,5.0,0.18545454545454546,0.07084434610236448,0.25629889155690994,5.0,10.0,1,5,0.0,0.0
Lauren Alaina,28,11,28.5,4,11,4th Place,7.914120282,rank,2.0,4.0,6.0,3.5,0.24358974358974358,0.26206269846526037,0.5056524420550039,2.0,11.0,1,4,0.5,2.0
Charles Oakley,29,2,15.0,15,2,Eliminated Week 2,3.610432342,rank,15.0,14.5,29.5,15.0,0.054945054945054944,0.010354813709480026,0.06529986865453496,15.0,2.0,1,15,0.0,0.0
Carole Baskin,29,3,12.0,14,3,Eliminated Week 3,3.560757161,rank,14.0,14.0,28.0,14.0,0.042704626334519574,0.014216400891643456,0.05692102722616303,14.0,3.0,1,14,0.0,0.0
Anne Heche,29,4,21.0,13,4,Eliminated Week 4,2.788186367,rank,13.0,11.5,24.5,13.0,0.06976744186046512,0.013282004836565647,0.08304944669703077,13.0,4.0,1,13,0.0,0.0
Jesse Metcalfe,29,5,19.0,12,5,Eliminated Week 5,2.860337916,rank,12.0,11.5,23.5,12.0,0.06620209059233449,0.017715410535962876,0.08391750112829736,12.0,5.0,1,12,0.0,0.0
Veron Davis,29,6,21.0,11,6,Eliminated Week 6,2.929355218,rank,11.0,10.0,21.0,11.0,0.07835820895522388,0.02288006934810064,0.10123827830332452,11.0,6.0,1,11,0.0,0.0
Jeannie Mai,29,7,25.0,9,7,Withdrew,2.836826343,rank,10.0,8.0,18.0,9.0,0.09615384615384616,0.0258093671047472,0.12196321325859336,9.0,7.0,1,10,1.0,1.0
Chrishell Stause,29,8,27.0,8,8,Eliminated Week 8,2.662117079,rank,8.0,5.5,13.5,8.0,0.12162184076007344,0.03303803112369415,0.1546598718837676,8.0,8.0,1,8,0.0,0.0
AJ McLean,29,9,24.9998,7,9,Eliminated Week 9,3.007388679,rank,7.0,6.0,13.0,7.0,0.12953317941214265,0.04307717588429202,0.17261035529643468,7.0,9.0,1,7,0.0,0.0
Johnny Weir,29,10,28.5,6,10,Eliminated Week 10,3.923076048,rank,6.0,4.5,10.5,6.0,0.16379310344827586,0.06529483715139554,0.2290879405996714,6.0,10.0,1,6,0.0,0.0
Justina Machado,29,11,30.0,4,11,4th Place,9.99459431,rank,4.0,2.0,6.0,3.5,0.25316455696202533,0.21431729300666383,0.46748184996868913,4.0,11.0,1,4,0.5,0.0
Martin Kove,30,2,15.0,15,2,Eliminated Week 2,4.739177194,rank,15.0,15.0,30.0,15.0,0.03896103896103896,0.010286520744471823,0.049247559705510785,15.0,2.0,1,15,0.0,0.0
Christine Chiu,30,3,21.0,14,3,Eliminated Week 3,3.664707917,rank,14.0,8.0,22.0,13.0,0.07046979865771812,0.010433072322601664,0.08090287098031979,14.0,3.0,1,14,1.0,0.0
Brian Austin Green,30,4,26.0,13,4,Eliminated Week 4,6.990085471,rank,12.0,13.0,25.0,12.5,0.06235011990407674,0.02638397430411888,0.08873409420819561,13.0,4.0,1,13,0.5,0.0
Melanie C,30,5,36.0,11,5,Eliminated Week 5,3.002663002,rank,11.0,5.0,16.0,9.5,0.09350649350649351,0.013898074409997454,0.10740456791649096,11.0,5.0,1,11,1.5,0.0
Kenya Moore,30,6,32.0,10,6,Eliminated Week 6,3.815046491,rank,10.0,10.0,20.0,10.0,0.08791208791208792,0.019147332994220674,0.1070594209063086,10.0,6.0,1,10,0.0,0.0
"Mike ""The Miz"" Mizanin",30,7,32.0,9,7,Eliminated Week 7,4.650928485,rank,9.0,9.0,18.0,9.0,0.09785932721712538,0.029999681918821314,0.1278590091359467,9.0,7.0,1,9,0.0,0.0
Jimmie Allen,30,8,32.0,7,8,Eliminated Week 8,6.5944399,rank,7.0,8.0,15.0,8.0,0.1038961038961039,0.047774255113457925,0.15167035900956183,7.0,8.0,1,8,0.0,1.0
Melora Hardin,30,9,36.0,6,9,Eliminated Week 9,5.647550198,rank,6.0,5.0,11.0,6.0,0.1592920353982301,0.05087557404878421,0.2101676094470143,6.0,9.0,1,6,0.0,0.0
Amanda Kloots,30,10,39.0,4,10,4th Place,18.14281953,rank,3.0,3.0,6.0,4.0,0.2484076433121019,0.20425219334579756,0.45265983665789944,4.0,10.0,1,4,0.0,0.0
Jason Lewis,31,1,18.0,16,1,Eliminated Week 1,6.977846122,rank,16.0,15.0,31.0,16.0,0.04712041884816754,0.007964838484789023,0.055085257332956564,16.0,1.0,1,16,0.0,0.0
Teresa Giudice,31,2,23.0,15,2,Eliminated Week 2,5.608103962,rank,15.0,14.0,29.0,15.0,0.055825242718446605,0.008200106818029589,0.06402534953647619,15.0,2.0,1,15,0.0,0.0
Cheryl Ladd,31,3,24.0,14,3,Eliminated Week 3,5.267070617,rank,14.0,13.0,27.0,14.0,0.05955334987593052,0.010464426067182085,0.0700177759431126,14.0,3.0,1,14,0.0,0.0
Sam Champion,31,4,25.0,13,4,Eliminated Week 4,4.623061548,rank,13.0,13.0,26.0,13.0,0.06097560975609756,0.011498443490499896,0.07247405324659746,13.0,4.0,1,13,0.0,0.0
Joseph Baena,31,5,35.0,11,5,Eliminated Week 5,6.560725147,rank,11.0,10.0,21.0,12.0,0.07803790412486064,0.023032336416365366,0.10107024054122601,11.0,5.0,1,12,0.0,1.0
Jessie James Decker,31,6,32.0,10,6,Eliminated Week 6,5.353275591,rank,10.0,9.0,19.0,10.0,0.0927536231884058,0.023196775616695413,0.11595039880510122,10.0,6.0,1,10,0.0,0.0
Jordin Sparks,31,7,34.5,9,7,Eliminated Week 7,5.323987708,rank,9.0,8.0,17.0,9.0,0.10599078341013825,0.028956627079788983,0.13494741048992723,9.0,7.0,1,9,0.0,0.0
Heidi D'Amelio,31,8,35.0,8,8,Eliminated Week 8,5.904812802,rank,8.0,7.0,15.0,7.5,0.11146496815286625,0.03823286515975667,0.14969783331262293,8.0,8.0,1,8,0.5,0.0
Daniel Durant,31,9,34.5,5,9,Eliminated Week 9,8.390607788,rank,6.0,5.0,11.0,5.5,0.15681818181818183,0.07385008076811363,0.23066826258629547,5.0,9.0,1,6,0.5,1.0
Shangela,31,10,38.0,4,10,4th Place,15.31787685,rank,4.0,3.5,7.5,4.0,0.24358974358974358,0.20052085783567625,0.4441106014254198,4.0,10.0,1,4,0.0,0.0
Matt Walsh,32,1,12.0,14,1,Eliminated Week 1,11.12900943,rank,14.0,13.0,27.0,14.0,0.05194805194805195,0.009830528221645886,0.06177858016969784,14.0,1.0,1,14,0.0,0.0
Jamie Lynn Spears,32,2,16.0,13,2,Eliminated Week 2,6.632284215,rank,13.0,9.0,22.0,12.0,0.06722689075630252,0.007463303096551076,0.0746901938528536,13.0,2.0,1,13,1.0,0.0
Tyson Beckford,32,3,20.0,12,3,Eliminated Week 3,7.140784569,rank,12.0,12.0,24.0,12.0,0.06191950464396285,0.01065642248010314,0.07257592712406599,12.0,3.0,1,12,0.0,0.0
Adrian Peterson,32,4,21.0,11,4,Eliminated Week 4,5.779112719,rank,11.0,7.0,18.0,9.5,0.0875,0.011124043371513266,0.09862404337151326,11.0,4.0,1,11,1.5,0.0
Mira Sorvino,32,5,22.0,10,5,Eliminated Week 5,6.231756248,rank,10.0,8.0,18.0,10.0,0.09166666666666666,0.014729206088207207,0.10639587275487386,10.0,5.0,1,10,0.0,0.0
Mauricio Umansky,32,6,33.0,9,6,Eliminated Week 6,5.426403421,rank,9.0,6.0,15.0,9.0,0.10248447204968944,0.016235697286762066,0.1187201693364515,9.0,6.0,1,9,0.0,0.0
Lele Pons,32,7,36.5,8,7,Eliminated Week 7,4.403553961,rank,8.0,3.0,11.0,5.0,0.12943262411347517,0.015804545739357297,0.14523716985283247,8.0,7.0,1,8,3.0,0.0
Barry Williams,32,8,35.0,7,8,Eliminated Week 8,6.236921745,rank,7.0,5.0,12.0,6.0,0.1383399209486166,0.02734907979311893,0.16568900074173554,7.0,8.0,1,7,1.0,0.0
Harry Jowsey,32,9,30.0,6,9,Eliminated Week 9,12.34444477,rank,6.0,6.0,12.0,6.0,0.13574660633484162,0.06427161840795695,0.20001822474279857,6.0,9.0,1,6,0.0,0.0
Alyson Hannigan,32,11,26.5,5,11,5th Place,16.87179532,rank,5.0,5.0,10.0,5.0,0.18213058419243985,0.11054863838772354,0.2926792225801634,5.0,11.0,1,5,0.0,0.0
Anna Delvey,33,2,17.0,12,2,Eliminated Week 2,8.668996762,rank,14.5,12.5,27.0,15.0,0.05246913580246913,0.008304891562491843,0.06077402736496097,16.0,2.0,1,17,2.0,1.0
Eric Roberts,33,3,23.0,10,3,Eliminated Week 3,14.4537795,rank,12.5,10.5,23.0,11.5,0.06353591160220995,0.02153418558853366,0.08507009719074361,11.0,3.0,1,13,1.5,2.0
Brooks Nader,33,4,32.0,9,4,Eliminated Week 4,9.281763109,rank,9.0,6.0,15.0,8.0,0.10884353741496598,0.018195587807775866,0.12703912522274186,9.0,4.0,1,9,1.0,0.0
Phaedra Parks,33,5,24.0,8,5,Eliminated Week 5,11.04005698,rank,8.0,7.0,15.0,8.0,0.1188118811881188,0.028708485307509045,0.14752036649562786,8.0,5.0,1,8,0.0,0.0
Jenn Tran,33,6,31.0,7,6,Eliminated Week 6,9.619271435,rank,7.0,3.5,10.5,5.5,0.15048543689320387,0.03344850632654912,0.18393394321975298,7.0,6.0,1,7,1.5,0.0
Dwight Howard ,33,7,24.0,6,7,Eliminated Week 7,13.1520548,rank,6.0,6.0,12.0,6.0,0.15,0.06000565667939084,0.21000565667939083,6.0,7.0,1,6,0.0,0.0
Danny Amendola,33,9,28.0,5,9,5th Place,22.33920207,rank,5.0,5.0,10.0,5.0,0.19243986254295534,0.1448578934742338,0.33729775601718914,5.0,9.0,1,5,0.0,0.0
Baron Davis,34,2,18.0,13,2,Eliminated Week 2,19.09934663,rank,13.5,12.0,25.5,13.0,0.05787781350482315,0.013635278367011828,0.07151309187183498,13.0,2.0,1,16,3.0,3.0
Lauren Jauregui,34,3,18.0,12,3,Eliminated Week 3,13.80573061,rank,12.0,11.5,23.5,12.0,0.07003891050583658,0.014839285996575578,0.08487819650241216,12.0,3.0,1,12,0.0,0.0
Hilaria Baldwin,34,4,23.0,11,4,Eliminated Week 4,6.239407803,rank,11.0,6.0,17.0,8.0,0.09274193548387097,0.00877651001156886,0.10151844549543983,11.0,4.0,1,11,3.0,0.0
Scott Hoying,34,6,28.0,10,6,Eliminated Week 6,9.43354398,rank,10.0,9.0,19.0,10.0,0.08235294117647059,0.020690082568597324,0.10304302374506791,10.0,6.0,1,10,0.0,0.0
Jen Affleck,34,7,34.0,9,7,Eliminated Week 7,6.608550627,rank,9.0,7.0,16.0,9.0,0.10240963855421686,0.019066550065800693,0.12147618862001755,9.0,7.0,1,9,0.0,0.0
