celebrity_name,season,week,judge_score,placement,weeks_participated,results,fan_votes,data_source,fan_vote_rank,judge_score_rank,method1_total_rank,method1_pos,judge_share,fan_share,method2_total_share,method2_pos,eliminated_week,is_eliminated
Brandy,11,1,23.0,4,9,Eliminated Week 9,2.372890279,pct,8.0,2.5,10.5,5.0,0.1013215859030837,0.0828898744058897,0.1842114603089734,3.0,9.0,0
Brandy,11,2,21.0,4,9,Eliminated Week 9,2.205552948,pct,8.0,6.0,14.0,9.0,0.09502262443438914,0.09021104958277469,0.18523367401716384,7.0,9.0,0
Brandy,11,3,24.0,4,9,Eliminated Week 9,2.051220485,pct,7.0,3.0,10.0,5.5,0.1085972850678733,0.09931313392226798,0.2079104189901413,3.0,9.0,0
Brandy,11,4,24.0,4,9,Eliminated Week 9,1.884180798,pct,6.0,2.0,8.0,3.5,0.1340782122905028,0.1094943602295527,0.24357257252005549,2.0,9.0,0
Brandy,11,5,27.0,4,9,Eliminated Week 9,1.746316732,pct,7.0,1.0,8.0,3.0,0.14835164835164835,0.12365369639732844,0.2720053447489768,1.0,9.0,0
Brandy,11,6,35.9999,4,9,Eliminated Week 9,1.615205634,pct,6.0,1.0,7.0,2.0,0.1739131484985698,0.1409333922718005,0.3148465407703703,1.0,9.0,0
Brandy,11,7,36.5,4,9,Eliminated Week 9,1.52548706,pct,5.0,1.5,6.5,3.0,0.1750599520383693,0.16703799198769298,0.3420979440260623,2.0,9.0,0
Brandy,11,8,28.5,4,9,Eliminated Week 9,1.403323289,pct,4.0,1.5,5.5,3.0,0.21509433962264152,0.19772314740697233,0.41281748702961385,3.0,9.0,0
Brandy,11,9,28.5,4,9,Eliminated Week 9,1.078848878,pct,4.0,3.0,7.0,4.0,0.25,0.20359718549902042,0.4535971854990204,4.0,9.0,1
The Situation,11,1,15.0,9,4,Eliminated Week 4,2.466534416,pct,3.0,11.0,14.0,9.0,0.06607929515418502,0.08616105420862762,0.15224034936281264,11.0,4.0,0
The Situation,11,2,18.0,9,4,Eliminated Week 4,2.281470893,pct,2.0,9.5,11.5,5.0,0.08144796380090498,0.09331622894690092,0.1747641927478059,8.0,4.0,0
The Situation,11,3,20.0,9,4,Eliminated Week 4,2.134149354,pct,2.0,7.5,9.5,4.0,0.09049773755656108,0.10332826829385125,0.19382600585041232,7.0,4.0,0
The Situation,11,4,14.0,9,4,Eliminated Week 4,1.736425124,pct,9.0,9.0,18.0,9.0,0.0782122905027933,0.10090791618337132,0.17912020668616463,9.0,4.0,1
Audrina Patridge,11,1,19.0,7,6,Eliminated Week 6,2.449875902,pct,4.0,5.5,9.5,3.0,0.08370044052863436,0.08557913849787227,0.16927957902650664,5.0,6.0,0
Audrina Patridge,11,2,23.0,7,6,Eliminated Week 6,2.268675852,pct,5.0,2.0,7.0,3.0,0.10407239819004525,0.0927928889476906,0.19686528713773585,2.0,6.0,0
Audrina Patridge,11,3,26.0,7,6,Eliminated Week 6,2.108827849,pct,4.0,1.0,5.0,1.0,0.11764705882352941,0.10210228696440954,0.21974934578793895,1.0,6.0,0
Audrina Patridge,11,4,23.0,7,6,Eliminated Week 6,1.956321456,pct,4.0,3.0,7.0,2.0,0.12849162011173185,0.11368663052687952,0.24217825063861137,3.0,6.0,0
Audrina Patridge,11,5,23.0,7,6,Eliminated Week 6,1.827874895,pct,3.0,5.0,8.0,3.0,0.12637362637362637,0.12942869021232548,0.25580231658595187,5.0,6.0,0
Audrina Patridge,11,6,31.9998,7,6,Eliminated Week 6,1.232153277,pct,7.0,2.0,9.0,6.0,0.15458892856159417,0.10751048502498317,0.26209941358657735,7.0,6.0,1
Bristol Palin,11,1,18.0,3,10,3rd Place,2.489022089,pct,1.0,7.5,8.5,2.0,0.07929515418502203,0.08694659427642892,0.16624174846145096,7.0,,0
Bristol Palin,11,2,22.0,3,10,3rd Place,2.307523682,pct,1.0,3.5,4.5,1.0,0.09954751131221719,0.09438183448694464,0.19392934579916182,3.0,,0
Bristol Palin,11,3,19.0,3,10,3rd Place,2.178838829,pct,1.0,9.0,10.0,5.5,0.08597285067873303,0.10549198099467817,0.19146483167341122,8.0,,0
Bristol Palin,11,4,16.0,3,10,3rd Place,2.027034976,pct,1.0,8.0,9.0,5.0,0.0893854748603352,0.11779596634019338,0.20718144120052856,7.0,,0
Bristol Palin,11,5,18.0,3,10,3rd Place,1.911997397,pct,1.0,8.0,9.0,6.5,0.0989010989010989,0.13538526047926583,0.23428635938036474,7.0,,0
Bristol Palin,11,6,27.9998,3,10,3rd Place,1.759206296,pct,2.0,6.0,8.0,4.5,0.13526519171803963,0.15349804742025136,0.288763239138291,4.0,,0
Bristol Palin,11,7,32.5,3,10,3rd Place,1.650947969,pct,1.0,6.0,7.0,4.5,0.15587529976019185,0.18077572786354543,0.3366510276237373,5.0,,0
Bristol Palin,11,8,23.5,3,10,3rd Place,1.565760648,pct,1.0,5.0,6.0,4.0,0.17735849056603772,0.2206099804907752,0.39796847105681293,4.0,,0
Bristol Palin,11,9,26.5,3,10,3rd Place,1.487137011,pct,1.0,4.0,5.0,3.0,0.2324561403508772,0.28064812047848814,0.5131042608293653,3.0,,0
Bristol Palin,11,10,25.666600000000003,3,10,3rd Place,1.315655027,pct,1.0,3.0,4.0,2.0,0.3092368897274451,0.34579641047229576,0.6550333001997408,3.0,,0
Ralph Macchio,12,1,24.0,4,9,Eliminated Week 9,2.370255894,pct,8.0,1.0,9.0,4.0,0.11594202898550725,0.0908234108952896,0.20676543988079685,1.0,9.0,0
Ralph Macchio,12,2,21.0,4,9,Eliminated Week 9,2.211199441,pct,8.0,4.0,12.0,6.0,0.09722222222222222,0.09159885641179967,0.1888210786340219,4.0,9.0,0
Ralph Macchio,12,3,21.0,4,9,Eliminated Week 9,2.057039765,pct,6.0,6.0,12.0,6.0,0.09813084112149532,0.10107685349828663,0.19920769461978194,6.0,9.0,0
Ralph Macchio,12,4,25.0,4,9,Eliminated Week 9,1.899813588,pct,6.0,2.5,8.5,3.0,0.12135922330097088,0.11234479157370086,0.23370401487467174,3.0,9.0,0
Ralph Macchio,12,5,22.0,4,9,Eliminated Week 9,1.78544828,pct,4.0,7.0,11.0,6.0,0.1134020618556701,0.1280600076153335,0.24146206947100363,7.0,9.0,0
Ralph Macchio,12,6,24.0,4,9,Eliminated Week 9,1.664125238,pct,4.0,6.0,10.0,5.5,0.13333333333333333,0.14558272730649519,0.27891606063982854,6.0,9.0,0
Ralph Macchio,12,7,33.0,4,9,Eliminated Week 9,1.527161589,pct,5.0,1.5,6.5,3.0,0.17506631299734748,0.1687895830473275,0.343855896044675,3.0,9.0,0
Ralph Macchio,12,8,23.0,4,9,Eliminated Week 9,1.513599853,pct,1.0,5.0,6.0,3.0,0.17692307692307693,0.2177687862152406,0.3946918631383175,4.0,9.0,0
Ralph Macchio,12,9,24.0,4,9,Eliminated Week 9,1.212967648,pct,4.0,4.0,8.0,4.0,0.20425531914893616,0.23221063834326686,0.436465957492203,4.0,9.0,1
Chelsea Kane,12,1,21.0,3,10,3rd Place,2.431167188,pct,2.0,3.5,5.5,1.0,0.10144927536231885,0.09315740845948921,0.19460668382180807,3.0,,0
Chelsea Kane,12,2,18.0,3,10,3rd Place,2.282071518,pct,2.0,7.5,9.5,5.0,0.08333333333333333,0.09453472962357704,0.17786806295691038,7.0,,0
Chelsea Kane,12,3,23.0,3,10,3rd Place,2.102707689,pct,2.0,3.5,5.5,3.0,0.10747663551401869,0.10332084029050058,0.21079747580451927,3.0,,0
Chelsea Kane,12,4,26.0,3,10,3rd Place,1.952287121,pct,2.0,1.0,3.0,1.0,0.1262135922330097,0.11544779502901707,0.2416613872620268,1.0,,0
Chelsea Kane,12,5,26.0,3,10,3rd Place,1.811704098,pct,2.0,3.0,5.0,2.0,0.13402061855670103,0.12994318748152756,0.26396380603822855,2.0,,0
Chelsea Kane,12,6,28.0,3,10,3rd Place,1.677805007,pct,2.0,1.5,3.5,1.0,0.15555555555555556,0.14677947502383426,0.3023350305793898,1.0,,0
Chelsea Kane,12,7,32.0,3,10,3rd Place,1.582101145,pct,1.0,3.0,4.0,1.0,0.16976127320954906,0.174861779216246,0.34462305242579505,2.0,,0
Chelsea Kane,12,8,27.5,3,10,3rd Place,1.463080117,pct,2.0,1.0,3.0,1.0,0.21153846153846154,0.21050027230330484,0.4220387338417664,1.0,,0
Chelsea Kane,12,9,36.5,3,10,3rd Place,1.353000381,pct,1.0,1.0,2.0,1.0,0.31063829787234043,0.2590185176568644,0.5696568155292048,1.0,,0
Chelsea Kane,12,10,29.666600000000003,3,10,3rd Place,1.266637371,pct,1.0,1.5,2.5,1.0,0.33969480071129965,0.3429427299208224,0.6826375306321221,1.0,,0
Kirstie Alley,12,1,23.0,2,10,2nd Place,2.3482428,pct,10.0,2.0,12.0,7.0,0.1111111111111111,0.08997991366509617,0.20109102477620727,2.0,,0
Kirstie Alley,12,2,20.0,2,10,2nd Place,2.194900033,pct,9.0,5.0,14.0,8.0,0.09259259259259259,0.09092365402828508,0.18351624662087768,5.0,,0
Kirstie Alley,12,3,21.0,2,10,2nd Place,2.035687368,pct,8.0,6.0,14.0,8.0,0.09813084112149532,0.10002765982681366,0.198158500948309,7.0,,0
Kirstie Alley,12,4,22.0,2,10,2nd Place,1.897525122,pct,7.0,7.0,14.0,8.0,0.10679611650485436,0.11220946396186703,0.2190055804667214,6.0,,0
Kirstie Alley,12,5,23.0,2,10,2nd Place,1.750970314,pct,7.0,5.0,12.0,7.0,0.11855670103092783,0.12558710003353493,0.24414380106446276,6.0,,0
Kirstie Alley,12,6,26.0,2,10,2nd Place,1.622553872,pct,6.0,4.0,10.0,5.5,0.14444444444444443,0.14194593801808195,0.28639038246252635,5.0,,0
Kirstie Alley,12,7,30.0,2,10,2nd Place,1.54885275,pct,4.0,5.5,9.5,5.0,0.15915119363395225,0.17118699930463388,0.33033819293858613,5.0,,0
Kirstie Alley,12,8,26.5,2,10,2nd Place,1.411674694,pct,4.0,3.0,7.0,4.0,0.20384615384615384,0.2031043304039956,0.40695048425014946,3.0,,0
Kirstie Alley,12,9,27.0,2,10,2nd Place,1.322610439,pct,3.0,3.0,6.0,3.0,0.2297872340425532,0.25320066435906985,0.48298789840162304,3.0,,0
Kirstie Alley,12,10,27.9999,2,10,2nd Place,1.181511167,pct,3.0,3.0,6.0,3.0,0.32061039857740076,0.31989476571579595,0.6405051642931967,3.0,,0
Hines Ward,12,1,21.0,1,10,1st Place,2.410896744,pct,3.0,3.5,6.5,2.0,0.10144927536231885,0.09238068605196254,0.19382996141428138,4.0,,0
Hines Ward,12,2,23.0,1,10,1st Place,2.243654595,pct,4.0,2.0,6.0,1.0,0.10648148148148148,0.0929433099857045,0.199424791467186,1.0,,0
Hines Ward,12,3,25.0,1,10,1st Place,2.079206612,pct,3.0,1.5,4.5,1.5,0.11682242990654206,0.1021660668352675,0.21898849674180954,1.0,,0
Hines Ward,12,4,25.0,1,10,1st Place,1.933506174,pct,3.0,2.5,5.5,2.0,0.12135922330097088,0.1143371904993943,0.23569641380036516,2.0,,0
Hines Ward,12,5,27.0,1,10,1st Place,1.789185837,pct,3.0,1.0,4.0,1.0,0.13917525773195877,0.1283280812320516,0.26750333896401035,1.0,,0
Hines Ward,12,6,27.0,1,10,1st Place,1.66629197,pct,3.0,3.0,6.0,2.5,0.15,0.14577227959901456,0.29577227959901453,3.0,,0
Hines Ward,12,7,33.0,1,10,1st Place,1.55723076,pct,3.0,1.5,4.5,2.0,0.17506631299734748,0.17211297912553306,0.34717929212288057,1.0,,0
Hines Ward,12,8,27.0,1,10,1st Place,1.447986322,pct,3.0,2.0,5.0,2.0,0.2076923076923077,0.20832865646308338,0.4160209641553911,2.0,,0
Hines Ward,12,9,30.0,1,10,1st Place,1.334987759,pct,2.0,2.0,4.0,2.0,0.2553191489361702,0.25557017964079887,0.5108893285769691,2.0,,0
Hines Ward,12,10,29.666600000000003,1,10,1st Place,1.245288472,pct,2.0,1.5,3.5,2.0,0.33969480071129965,0.3371625043633815,0.6768573050746811,2.0,,0
Sugar Ray Leonard,12,1,17.0,9,4,Eliminated Week 4,2.349512199,pct,9.0,9.0,18.0,9.5,0.0821256038647343,0.09002855446681673,0.17215415833155104,8.0,4.0,0
Sugar Ray Leonard,12,2,17.0,9,4,Eliminated Week 4,2.225218651,pct,6.0,10.0,16.0,9.0,0.0787037037037037,0.09217960167610569,0.1708833053798094,9.0,4.0,0
Sugar Ray Leonard,12,3,20.0,9,4,Eliminated Week 4,2.050379538,pct,7.0,8.5,15.5,9.0,0.09345794392523364,0.1007495896309572,0.19420753355619086,9.0,4.0,0
Sugar Ray Leonard,12,4,21.0,9,4,Eliminated Week 4,1.575038537,pct,9.0,8.0,17.0,9.0,0.10194174757281553,0.09313933602616792,0.19508108359898346,9.0,4.0,1
Chris Jericho,12,1,19.0,7,6,Eliminated Week 6,2.387631565,pct,5.0,5.5,10.5,5.0,0.09178743961352658,0.0914892114575028,0.18327665107102936,5.0,6.0,0
Chris Jericho,12,2,23.0,7,6,Eliminated Week 6,2.225839313,pct,5.0,2.0,7.0,2.5,0.10648148148148148,0.0922053125768793,0.1986867940583608,2.0,6.0,0
Chris Jericho,12,3,21.0,7,6,Eliminated Week 6,2.070757817,pct,5.0,6.0,11.0,5.0,0.09813084112149532,0.1017509180233766,0.19988175914487194,5.0,6.0,0
Chris Jericho,12,4,23.0,7,6,Eliminated Week 6,1.927177231,pct,4.0,5.0,9.0,4.0,0.11165048543689321,0.11396293073690604,0.22561341617379926,4.0,6.0,0
Chris Jericho,12,5,26.0,7,6,Eliminated Week 6,1.769583394,pct,6.0,3.0,9.0,5.0,0.13402061855670103,0.12692210995414985,0.2609427285108509,4.0,6.0,0
Chris Jericho,12,6,22.0,7,6,Eliminated Week 6,1.439676644,pct,7.0,7.0,14.0,7.0,0.12222222222222222,0.1259472829850695,0.2481695052072917,7.0,6.0,1
Petra Nemcova,12,1,18.0,8,5,Eliminated Week 5,2.207495726,pct,11.0,7.5,18.5,11.0,0.08695652173913043,0.08458677051689407,0.1715432922560245,9.0,5.0,0
Petra Nemcova,12,2,18.0,8,5,Eliminated Week 5,2.111892948,pct,10.0,7.5,17.5,10.0,0.08333333333333333,0.08748508855151446,0.1708184218848478,10.0,5.0,0
Petra Nemcova,12,3,25.0,8,5,Eliminated Week 5,1.899429735,pct,9.0,1.5,10.5,4.0,0.11682242990654206,0.09333236251506515,0.2101547924216072,4.0,5.0,0
Petra Nemcova,12,4,23.0,8,5,Eliminated Week 5,1.790741778,pct,8.0,5.0,13.0,7.0,0.11165048543689321,0.10589486941375034,0.21754535485064355,7.0,5.0,0
Petra Nemcova,12,5,22.0,8,5,Eliminated Week 5,1.419397262,pct,8.0,7.0,15.0,8.0,0.1134020618556701,0.10180525877843043,0.21520732063410053,8.0,5.0,1
Mike Catherwood,12,1,13.0,11,2,Eliminated Week 2,2.375464364,pct,7.0,11.0,18.0,9.5,0.06280193236714976,0.09102298892909735,0.1538249212962471,11.0,2.0,0
Mike Catherwood,12,2,17.0,11,2,Eliminated Week 2,1.879422264,pct,11.0,10.0,21.0,11.0,0.0787037037037037,0.07785499892285629,0.15655870262656,11.0,2.0,1
Romeo,12,1,19.0,5,8,Eliminated Week 8,2.385107057,pct,6.0,5.5,11.5,6.0,0.09178743961352658,0.09139247741795338,0.18317991703147996,6.0,8.0,0
Romeo,12,2,23.0,5,8,Eliminated Week 8,2.22247675,pct,7.0,2.0,9.0,4.0,0.10648148148148148,0.09206601852691638,0.19854750000839788,3.0,8.0,0
Romeo,12,3,20.0,5,8,Eliminated Week 8,2.075970542,pct,4.0,8.5,12.5,7.0,0.09345794392523364,0.10200705592120272,0.19546499984643637,8.0,8.0,0
Romeo,12,4,23.0,5,8,Eliminated Week 8,1.920205851,pct,5.0,5.0,10.0,5.5,0.11165048543689321,0.11355068069404496,0.22520116613093816,5.0,8.0,0
Romeo,12,5,26.0,5,8,Eliminated Week 8,1.77148054,pct,5.0,3.0,8.0,3.5,0.13402061855670103,0.12705818140126418,0.26107879995796524,3.0,8.0,0
Romeo,12,6,28.0,5,8,Eliminated Week 8,1.64611968,pct,5.0,1.5,6.5,4.0,0.15555555555555556,0.14400754643641497,0.29956310199197056,2.0,8.0,0
Romeo,12,7,30.0,5,8,Eliminated Week 8,1.571956513,pct,2.0,5.5,7.5,4.0,0.15915119363395225,0.1737405434427809,0.33289173707673314,4.0,8.0,0
Romeo,12,8,26.0,5,8,Eliminated Week 8,1.114149391,pct,5.0,4.0,9.0,5.0,0.2,0.16029795461437554,0.3602979546143755,5.0,8.0,1
Wendy Williams,12,1,14.0,10,3,Eliminated Week 3,2.39023834,pct,4.0,10.0,14.0,8.0,0.06763285024154589,0.09158909780206832,0.15922194804361423,10.0,3.0,0
Wendy Williams,12,2,17.0,10,3,Eliminated Week 3,2.255470273,pct,3.0,10.0,13.0,7.0,0.0787037037037037,0.09343277401706324,0.17213647772076696,8.0,3.0,0
Wendy Williams,12,3,15.0,10,3,Eliminated Week 3,1.860384977,pct,10.0,10.0,20.0,10.0,0.07009345794392523,0.09141381852219195,0.16150727646611718,10.0,3.0,1
Kendra Wilkinson,12,1,18.0,6,7,Eliminated Week 7,2.441399249,pct,1.0,7.5,8.5,3.0,0.08695652173913043,0.0935494803378299,0.18050600207696033,7.0,7.0,0
Kendra Wilkinson,12,2,19.0,6,7,Eliminated Week 7,2.287887481,pct,1.0,6.0,7.0,2.5,0.08796296296296297,0.09477565567929835,0.18273861864226132,6.0,7.0,0
Kendra Wilkinson,12,3,23.0,6,7,Eliminated Week 7,2.119680518,pct,1.0,3.5,4.5,1.5,0.10747663551401869,0.10415483493633793,0.21163147045035663,2.0,7.0,0
Kendra Wilkinson,12,4,18.0,6,7,Eliminated Week 7,2.014266818,pct,1.0,9.0,10.0,5.5,0.08737864077669903,0.11911294206515151,0.20649158284185054,8.0,7.0,0
Kendra Wilkinson,12,5,22.0,6,7,Eliminated Week 7,1.84450869,pct,1.0,7.0,8.0,3.5,0.1134020618556701,0.1322960735037079,0.245698135359378,5.0,7.0,0
Kendra Wilkinson,12,6,25.0,6,7,Eliminated Week 7,1.714215216,pct,1.0,5.0,6.0,2.5,0.1388888888888889,0.14996475063108966,0.28885363951997856,4.0,7.0,0
Kendra Wilkinson,12,7,30.5,6,7,Eliminated Week 7,1.260421406,pct,6.0,4.0,10.0,6.0,0.16180371352785147,0.13930811586347872,0.3011118293913302,6.0,7.0,1
Elisabetta Canalis,13,1,15.0,11,2,Eliminated Week 2,2.428164587,pct,5.0,11.0,16.0,10.0,0.06912442396313365,0.08446097207936616,0.15358539604249982,11.0,2.0,0
Elisabetta Canalis,13,2,21.0,11,2,Eliminated Week 2,1.825393731,pct,11.0,5.5,16.5,10.5,0.09417040358744394,0.07473616422205405,0.16890656780949798,11.0,2.0,1
David Arquette,13,1,18.0,6,7,Eliminated Week 7,2.401258792,pct,9.0,6.0,15.0,9.0,0.08294930875576037,0.08352508428476003,0.16647439304052042,6.0,7.0,0
David Arquette,13,2,18.0,6,7,Eliminated Week 7,2.255873291,pct,7.0,9.5,16.5,10.5,0.08071748878923767,0.0923610692187271,0.17307855800796476,9.0,7.0,0
David Arquette,13,3,24.0,6,7,Eliminated Week 7,2.077484358,pct,7.0,5.5,12.5,8.0,0.10126582278481013,0.1009106609793881,0.20217648376419822,6.0,7.0,0
David Arquette,13,4,23.0,6,7,Eliminated Week 7,1.922659581,pct,7.0,5.0,12.0,7.5,0.11004784688995216,0.11197241059070748,0.22202025748065962,5.0,7.0,0
David Arquette,13,5,25.0,6,7,Eliminated Week 7,1.768745408,pct,7.0,2.5,9.5,5.0,0.13297872340425532,0.12445558362614624,0.25743430703040154,3.0,7.0,0
David Arquette,13,6,23.0,6,7,Eliminated Week 7,1.65201296,pct,5.0,4.0,9.0,6.0,0.13855421686746988,0.14364542640216255,0.2821996432696324,5.0,7.0,0
David Arquette,13,7,23.5,6,7,Eliminated Week 7,1.256091084,pct,6.0,5.0,11.0,6.0,0.16040955631399317,0.13775752562270355,0.2981670819366967,6.0,7.0,1
Ricki Lake,13,1,20.0,3,10,3rd Place,2.388813314,pct,10.0,4.0,14.0,8.0,0.09216589861751152,0.08309218234083905,0.17525808095835058,4.0,,0
Ricki Lake,13,2,23.0,3,10,3rd Place,2.223501369,pct,9.0,1.0,10.0,4.0,0.1031390134529148,0.09103568213226541,0.19417469558518022,1.0,,0
Ricki Lake,13,3,27.0,3,10,3rd Place,2.060600425,pct,8.0,1.0,9.0,3.0,0.11392405063291139,0.10009054946692313,0.21401460009983453,1.0,,0
Ricki Lake,13,4,29.0,3,10,3rd Place,1.900175677,pct,8.0,1.0,9.0,4.0,0.13875598086124402,0.11066298641845716,0.2494189672797012,1.0,,0
Ricki Lake,13,5,24.0,3,10,3rd Place,1.778382643,pct,6.0,4.5,10.5,7.0,0.1276595744680851,0.12513369575073038,0.2527932702188155,5.0,,0
Ricki Lake,13,6,29.0,3,10,3rd Place,1.620168139,pct,6.0,1.5,7.5,4.0,0.1746987951807229,0.14087646332378237,0.3155752585045053,2.0,,0
Ricki Lake,13,7,26.5,3,10,3rd Place,1.522914981,pct,5.0,1.0,6.0,2.0,0.18088737201365188,0.16702053074704143,0.3479079027606933,2.0,,0
Ricki Lake,13,8,26.0,3,10,3rd Place,1.423083388,pct,4.0,2.5,6.5,4.0,0.20077220077220076,0.2003881005904426,0.40116030136264336,4.0,,0
Ricki Lake,13,9,33.4999,3,10,3rd Place,1.301977889,pct,3.0,1.0,4.0,2.0,0.2827007708893286,0.24461028590384887,0.5273110567931775,2.0,,0
Ricki Lake,13,10,27.9999,3,10,3rd Place,1.216433873,pct,3.0,3.0,6.0,3.0,0.3313613318879616,0.32426116993258075,0.6556225018205424,3.0,,0
J.R. Martinez,13,1,22.0,1,10,1st Place,2.421143185,pct,8.0,1.5,9.5,3.0,0.10138248847926268,0.08421674051390515,0.18559922899316783,1.0,,0
J.R. Martinez,13,2,22.0,1,10,1st Place,2.258806226,pct,6.0,2.5,8.5,3.0,0.09865470852017937,0.09248115088006409,0.19113585940024347,3.0,,0
J.R. Martinez,13,3,26.0,1,10,1st Place,2.097151554,pct,6.0,2.5,8.5,2.0,0.10970464135021098,0.10186596528304205,0.21157060663325303,2.0,,0
J.R. Martinez,13,4,26.0,1,10,1st Place,1.936357939,pct,6.0,2.0,8.0,3.0,0.12440191387559808,0.11277017956736467,0.23717209344296275,2.0,,0
J.R. Martinez,13,5,28.0,1,10,1st Place,1.791650784,pct,5.0,1.0,6.0,2.0,0.14893617021276595,0.1260672920864835,0.27500346229924943,1.0,,0
J.R. Martinez,13,6,29.0,1,10,1st Place,1.655916354,pct,4.0,1.5,5.5,1.0,0.1746987951807229,0.1439848333615036,0.31868362854222654,1.0,,0
J.R. Martinez,13,7,24.0,1,10,1st Place,1.578310469,pct,3.0,4.0,7.0,4.0,0.16382252559726962,0.17309584284402801,0.33691836844129763,4.0,,0
J.R. Martinez,13,8,30.0,1,10,1st Place,1.42926287,pct,3.0,1.0,4.0,1.0,0.23166023166023167,0.20125824964218098,0.4329184813024126,1.0,,0
J.R. Martinez,13,9,28.0,1,10,1st Place,1.37761951,pct,1.0,3.0,4.0,2.0,0.2362879168266533,0.2588215245856761,0.4951094414123294,3.0,,0
J.R. Martinez,13,10,28.1665,1,10,1st Place,1.244833459,pct,2.0,2.0,4.0,2.0,0.3333329388541484,0.3318315633475962,0.6651645022017446,2.0,,0
Metta World Peace (Ron),13,1,14.0,12,1,Eliminated Week 1,2.128898743,pct,12.0,12.0,24.0,12.0,0.06451612903225806,0.07405134654174113,0.13856747557399918,12.0,1.0,1
Hope Solo,13,1,21.0,4,9,Eliminated Week 9,2.42724894,pct,6.0,3.0,9.0,2.0,0.0967741935483871,0.08442912232909981,0.1812033158774869,3.0,9.0,0
Hope Solo,13,2,19.0,4,9,Eliminated Week 9,2.283127054,pct,3.0,8.0,11.0,5.0,0.08520179372197309,0.09347690613250959,0.17867869985448268,7.0,9.0,0
Hope Solo,13,3,24.0,4,9,Eliminated Week 9,2.112589447,pct,4.0,5.5,9.5,4.0,0.10126582278481013,0.1026158375893052,0.20388166037411531,5.0,9.0,0
Hope Solo,13,4,24.0,4,9,Eliminated Week 9,1.95025755,pct,4.0,3.5,7.5,2.0,0.11483253588516747,0.11357966917505362,0.22841220506022109,4.0,9.0,0
Hope Solo,13,5,24.0,4,9,Eliminated Week 9,1.812890338,pct,3.0,4.5,7.5,3.0,0.1276595744680851,0.12756178704153645,0.25522136150962155,4.0,9.0,0
Hope Solo,13,6,20.0,4,9,Eliminated Week 9,1.723350936,pct,2.0,6.0,8.0,5.0,0.12048192771084337,0.14984838862419453,0.2703303163350379,6.0,9.0,0
Hope Solo,13,7,25.0,4,9,Eliminated Week 9,1.571021361,pct,4.0,3.0,7.0,4.0,0.17064846416382254,0.17229643466824585,0.34294489883206836,3.0,9.0,0
Hope Solo,13,8,26.0,4,9,Eliminated Week 9,1.46021476,pct,2.0,2.5,4.5,2.0,0.20077220077220076,0.2056166663724199,0.40638886714462064,3.0,9.0,0
Hope Solo,13,9,24.4998,4,9,Eliminated Week 9,1.271805691,pct,4.0,4.0,8.0,4.0,0.20675023945248716,0.23894165662720562,0.4456918960796928,4.0,9.0,1
Chynna Phillips,13,1,22.0,9,4,Eliminated Week 4,2.341700162,pct,11.0,1.5,12.5,7.0,0.10138248847926268,0.08145340437786774,0.18283589285713042,2.0,4.0,0
Chynna Phillips,13,2,21.0,9,4,Eliminated Week 4,2.192381731,pct,10.0,5.5,15.5,9.0,0.09417040358744394,0.089761566670707,0.18393197025815095,6.0,4.0,0
Chynna Phillips,13,3,26.0,9,4,Eliminated Week 4,2.022714199,pct,9.0,2.5,11.5,6.0,0.10970464135021098,0.09825028333305197,0.20795492468326293,3.0,4.0,0
Chynna Phillips,13,4,21.0,9,4,Eliminated Week 4,1.600248683,pct,9.0,7.0,16.0,9.0,0.10047846889952153,0.0931957504858552,0.1936742193853767,9.0,4.0,1
Kristin Cavallari,13,1,19.0,10,3,Eliminated Week 3,2.44806939,pct,2.0,5.0,7.0,1.0,0.08755760368663594,0.08515333824738833,0.17271094193402425,5.0,3.0,0
Kristin Cavallari,13,2,22.0,10,3,Eliminated Week 3,2.276164182,pct,5.0,2.5,7.5,2.0,0.09865470852017937,0.09319182881663426,0.19184653733681362,2.0,3.0,0
Kristin Cavallari,13,3,24.0,10,3,Eliminated Week 3,1.698748002,pct,10.0,5.5,15.5,10.0,0.10126582278481013,0.08251411523707602,0.18377993802188614,9.0,3.0,1
Carson Kressley,13,1,17.0,8,5,Eliminated Week 5,2.431653235,pct,4.0,7.5,11.5,6.0,0.07834101382488479,0.08458232077331397,0.16292333459819874,8.0,5.0,0
Carson Kressley,13,2,18.0,8,5,Eliminated Week 5,2.278922026,pct,4.0,9.5,13.5,7.5,0.08071748878923767,0.09330474181648876,0.1740222306057264,8.0,5.0,0
Carson Kressley,13,3,23.0,8,5,Eliminated Week 5,2.105815735,pct,5.0,8.0,13.0,9.0,0.0970464135021097,0.10228681477256446,0.19933322827467415,7.0,5.0,0
Carson Kressley,13,4,20.0,8,5,Eliminated Week 5,1.9694963,pct,2.0,9.0,11.0,6.0,0.09569377990430622,0.11470010112023007,0.2103938810245363,8.0,5.0,0
Carson Kressley,13,5,19.0,8,5,Eliminated Week 5,1.581253475,pct,8.0,8.0,16.0,8.0,0.10106382978723404,0.1112629455895084,0.21232677537674244,8.0,5.0,1
Chaz Bono,13,1,17.0,7,6,Eliminated Week 6,2.432297383,pct,3.0,7.5,10.5,4.5,0.07834101382488479,0.08460472673645758,0.16294574056134237,7.0,6.0,0
