celebrity_name,season,placement,weeks_participated,results,ballroom_partner,celebrity_industry,celebrity_age_during_season,low_score_advanced_count,week1_score_sum,week2_score_sum,week3_score_sum,week4_score_sum,week5_score_sum,week6_score_sum,week7_score_sum,week8_score_sum,week9_score_sum,week10_score_sum,week11_score_sum
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,25.0,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,25.0,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,25.0,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,25.0,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,25.0,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,25.0,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,25.0,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,25.0,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,26.5,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,26.5,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,26.5,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,26.5,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,26.5,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,26.5,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,26.5,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,19.0,36.0,28.0,26.5,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,25.0,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,25.0,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,25.0,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,25.0,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,25.0,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,25.0,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,25.0,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,25.0,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,26.5,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,26.5,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,26.5,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,26.5,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,26.5,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,26.5,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,26.5,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,27.0,26.5,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,25.0,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,25.0,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,25.0,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,25.0,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,25.0,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,25.0,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,25.0,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,25.0,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,26.5,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,26.5,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,26.5,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,26.5,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,26.5,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,26.5,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,26.5,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,24.0,28.0,26.5,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,25.0,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,25.0,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,25.0,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,25.0,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,25.0,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,25.0,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,25.0,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,25.0,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,26.5,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,26.5,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,26.5,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,26.5,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,26.5,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,26.5,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,26.5,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,27.0,26.5,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,25.0,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,25.0,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,25.0,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,25.0,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,25.0,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,25.0,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,25.0,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,25.0,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,26.5,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,26.5,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,26.5,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,26.5,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,26.5,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,26.5,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,26.5,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.0,22.5,25.0,36.0,28.0,26.5,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,25.0,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,25.0,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,25.0,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,25.0,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,25.0,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,25.0,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,25.0,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,25.0,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,26.5,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,26.5,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,26.5,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,26.5,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,26.5,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,26.5,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,26.5,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,27.0,26.5,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,25.0,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,25.0,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,25.0,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,25.0,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,25.0,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,25.0,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,25.0,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,25.0,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,26.5,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,26.5,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,26.5,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,26.5,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,26.5,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,26.5,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,26.5,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,24.0,28.0,26.5,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,25.0,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,25.0,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,25.0,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,25.0,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,25.0,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,25.0,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,25.0,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,25.0,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,26.5,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,26.5,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,26.5,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,26.5,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,26.5,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,26.5,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,26.5,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,27.0,26.5,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,25.0,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,25.0,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,25.0,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,25.0,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,25.0,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,25.0,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,25.0,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,25.0,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,26.5,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,26.5,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,26.5,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,26.5,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,26.5,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,26.5,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,26.5,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,19.0,36.0,28.0,26.5,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,25.0,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,25.0,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,25.0,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,25.0,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,25.0,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,25.0,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,25.0,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,25.0,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,26.5,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,26.5,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,26.5,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,26.5,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,26.5,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,26.5,34.4999,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,26.5,34.4999,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,27.0,26.5,34.4999,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,28.0,25.0,28.5,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,28.0,25.0,28.5,27.0,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,28.0,25.0,28.5,29.0554,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,28.0,25.0,28.5,29.0554,27.0,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,28.0,25.0,34.4999,27.0,29.5,29.666600000000003,
Emmitt Smith,3,1,10,Winner,Cheryl Burke,Athlete,37,1,24.5,24.0,25.0,24.0,28.0,25.0,34.4999,27.0,27.0,29.666600000000003,
