celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,is_from_usa,is_final_awarded,is_final_reached,season_total_weeks,weeks_participated,low_score_advanced_week,low_score_advanced_weeks,low_score_advanced_count,week1_score_sum,week2_score_sum,week3_score_sum,week4_score_sum,week5_score_sum,week6_score_sum,week7_score_sum,week8_score_sum,week9_score_sum,week10_score_sum,week11_score_sum,week1_judge_score_rank,week2_judge_score_rank,week3_judge_score_rank,week4_judge_score_rank,week5_judge_score_rank,week6_judge_score_rank,week7_judge_score_rank,week8_judge_score_rank,week9_judge_score_rank,week10_judge_score_rank,week11_judge_score_rank
Carole Baskin,Pasha Pashkov,TV Personality,Texas,United States,59,29,Eliminated Week 3,14,4.0,4.0,3.0,0.0,6.0,5.0,5.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,3,2,"1,2",2,11.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,9,0,0,0,0,0,0,0,0
Monica Aldama,Valentin Chmerkovskiy,TV Personality,Alabama,United States,48,29,Eliminated Week 7,10,6.0,7.0,6.0,0.0,5.0,6.0,5.0,0.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,9.0,9.0,8.0,0.0,9.0,9.0,9.0,0.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,7,2,2,1,19.0,16.0,21.0,24.0,26.0,27.0,22.0,0.0,0.0,0.0,0.0,3,6,4,3,3,1,6,0,0,0,0
Jeannie Mai,Brandon Armstrong,TV Personality,California,United States,41,29,Withdrew,9,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,7.0,7.0,8.0,0.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,9.0,0.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,7,0,,0,18.0,18.0,22.0,21.0,24.0,25.0,25.0,0.0,0.0,0.0,0.0,4,5,3,5,4,3,4,0,0,0,0
Martin Kove,Britt Stewart,Actor/Actress,New York,United States,75,30,Eliminated Week 2,15,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,2,1,1,1,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,11,0,0,0,0,0,0,0,0,0
Brian Austin Green,Sharna Burgess,Actor/Actress,California,United States,48,30,Eliminated Week 4,13,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,0.0,6.5,6.0,7.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,4,3,"2,3",2,24.0,23.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,9,6,10,0,0,0,0,0,0,0
Melora Hardin,Artem Chigvintsev,Actor/Actress,Texas,United States,54,30,Eliminated Week 9,6,7.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,8.0,0.0,9.0,9.5,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.5,9.5,9.5,9.5,10.5,10.5,10.5,10.5,8.5,9.5,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,9,6,6,1,26.0,27.0,23.0,36.5,36.0,34.0,38.0,42.0,36.0,0.0,0.0,4,5,2,1,3,4,3,1,4,0,0
Matt James,Lindsay Arnold,Athlete,North Carolina,United States,29,30,Eliminated Week 4,12,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,0.0,7.0,6.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,4,2,2,1,24.0,22.0,20.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10,5,9,0,0,0,0,0,0,0
"Mike ""The Miz"" Mizanin",Witney Carson,Athlete,Ohio,United States,40,30,Eliminated Week 7,9,6.0,6.0,6.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,0.0,8.5,7.5,8.5,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,7,6,"5,6",2,24.0,26.0,22.0,32.5,32.0,34.0,32.0,0.0,0.0,0.0,0.0,6,6,3,5,5,4,6,0,0,0,0
Suni Lee,Sasha Farber,Athlete,Minnesota,United States,18,30,Eliminated Week 9,5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,8.5,8.0,9.0,8.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.25,8.25,8.25,9.25,10.5,10.5,10.5,10.5,10.0,9.0,9.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,9,0,,0,28.0,28.0,21.0,34.0,36.0,36.0,34.0,42.0,37.5,0.0,0.0,2,4,4,3,3,3,5,1,3,0,0
Iman Shumpert,Daniella Karagach,Athlete,Illinois,United States,31,30,1st Place,1,7.0,4.0,5.0,5.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,0.0,8.5,6.5,8.5,8.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,9.5,7.5,8.5,8.5,9.0,8.0,9.0,9.0,9.5,9.0,10.0,9.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1,1,1,10,10,8,"1,3,5,8",4,21.0,25.0,19.0,31.5,28.0,40.0,34.0,35.0,37.5,40.0,0.0,8,7,6,6,6,1,5,5,3,1,0
Cody Rigsby,Cheryl Burke,Fitness Instructor,California,United States,34,30,3rd Place,3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,7.5,6.5,7.5,7.5,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.5,8.5,9.5,9.5,10.0,10.0,9.0,9.0,9.0,9.0,8.5,9.0,9.5,9.5,9.5,9.5,0.0,0.0,0.0,0.0,1,1,1,10,10,9,"3,4,5,9",4,24.0,24.0,18.0,29.0,32.0,36.0,36.0,38.0,35.5,38.0,0.0,6,8,7,8,5,3,4,3,5,3,0
Melanie C,Gleb Savchenko,Singer/Rapper,,England,47,30,Eliminated Week 5,11,7.0,7.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,0.0,8.0,8.0,8.5,8.5,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,5,0,,0,27.0,30.0,22.0,33.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,4,3,0,0,0,0,0,0
Jimmie Allen,Emma Slater,Singer/Rapper,Delaware,United States,36,30,Eliminated Week 8,7,6.0,5.0,6.0,5.0,7.0,6.0,7.0,7.0,6.0,6.0,8.0,0.0,8.5,7.5,8.5,8.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,8,1,1,1,22.0,27.0,20.0,32.5,34.0,38.0,38.0,32.0,0.0,0.0,0.0,7,5,5,5,4,2,3,6,0,0,0
Olivia Jade,Valentin Chmerkovskiy,Social Media Personality,California,United States,21,30,Eliminated Week 8,8,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,0.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,11.0,11.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,8,0,,0,25.0,27.0,24.0,35.0,36.0,36.0,42.0,36.0,0.0,0.0,0.0,5,5,1,2,3,3,1,4,0,0,0
JoJo Siwa,Jenna Johnson,Social Media Personality,Nebraska,United States,18,30,2nd Place,2,8.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,0.0,8.5,8.5,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.5,9.5,10.5,10.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1,1,1,10,10,0,,0,29.0,31.0,24.0,35.0,40.0,40.0,39.0,41.0,40.0,40.0,0.0,1,2,1,2,1,1,2,2,1,1,0
Christine Chiu,Pasha Pashkov,TV Personality,,Taiwan China,38,30,Eliminated Week 3,14,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,3,0,,0,25.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8,4,0,0,0,0,0,0,0,0
Kenya Moore,Brandon Armstrong,TV Personality,Michigan,United States,50,30,Eliminated Week 6,10,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,0.0,7.0,7.0,8.0,7.5,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,6,0,,0,26.0,24.0,21.0,29.5,36.0,32.0,0.0,0.0,0.0,0.0,0.0,4,8,4,7,3,5,0,0,0,0,0
Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,30,4th Place,4,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.5,8.5,8.5,8.5,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,8.25,8.25,8.25,9.25,10.5,10.5,10.5,10.5,9.5,10.0,10.0,10.0,9.5,10.0,9.5,10.0,0.0,0.0,0.0,0.0,1,0,1,10,10,0,,0,28.0,32.0,24.0,34.0,39.0,38.0,34.0,42.0,39.5,39.0,0.0,2,1,1,3,2,2,5,1,2,2,0
Jason Lewis,Peta Murgatroyd,Actor/Actress,California,United States,51,31,Eliminated Week 1,16,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,1,0,,0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0,0
Cheryl Ladd,Louis van Amstel,Actor/Actress,South Dakota,United States,71,31,Eliminated Week 3,14,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,3,2,2,1,21.0,21.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10,10,0,0,0,0,0,0,0,0
Selma Blair,Sasha Farber,Actor/Actress,Michigan,United States,50,31,Withdrew,12,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,5,0,,0,28.0,28.0,28.0,32.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,6,3,3,0,0,0,0,0,0
Joseph Baena,Daniella Karagach,Actor/Actress,California,United States,24,31,Eliminated Week 5,11,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,8.5,9.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,5,4,"2,4",2,23.0,24.0,29.0,28.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,7,8,5,6,8,0,0,0,0,0,0
Trevor Donovan,Emma Slater,Actor/Actress,California,United States,39,31,Eliminated Week 9,6,5.0,5.0,5.0,6.0,7.0,7.0,8.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,9.25,10.25,9.25,10.25,8.5,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,9,4,4,1,21.0,30.0,27.0,28.0,36.0,34.0,39.0,39.0,32.5,0.0,0.0,8,2,7,6,6,4,1,4,4,0,0
Daniel Durant,Britt Stewart,Actor/Actress,Michigan,United States,32,31,Eliminated Week 9,5,7.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,8.125,8.125,8.625,8.625,9.0,8.0,8.0,9.0,9.0,8.5,9.5,9.5,10.0,9.0,10.0,10.0,9.0,8.0,9.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,9,5,5,1,27.0,29.0,31.0,29.0,33.5,34.0,36.5,39.0,34.5,0.0,0.0,4,3,3,5,9,4,3,4,3,0,0
Wayne Brady,Witney Carson,Comedian,Georgia,United States,50,31,3rd Place,3,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.125,10.125,10.125,10.625,8.0,9.0,8.0,9.0,9.5,9.0,9.5,10.0,11.25,11.25,11.25,11.25,9.5,9.0,9.0,9.0,9.5,9.5,9.5,9.5,0.0,0.0,0.0,0.0,1,1,1,10,10,0,,0,29.0,32.0,33.0,36.0,41.0,34.0,38.0,45.0,36.5,38.0,0.0,2,1,1,1,2,4,2,1,2,2,0
Sam Champion,Cheryl Burke,News Anchor,Kentucky,United States,61,31,Eliminated Week 4,13,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,4,3,3,1,20.0,26.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,9,7,0,0,0,0,0,0,0
Jessie James Decker,Alan Bersten,Singer/Rapper,,Italy,34,31,Eliminated Week 6,10,5.0,5.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,7.0,8.0,8.0,8.875,8.875,9.375,8.875,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,6,3,"2,3",2,20.0,25.0,26.0,31.0,36.0,32.0,0.0,0.0,0.0,0.0,0.0,9,7,8,4,6,5,0,0,0,0,0
Jordin Sparks,Brandon Armstrong,Singer/Rapper,Arizona,United States,32,31,Eliminated Week 7,9,7.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,8.875,8.375,8.875,9.375,9.0,8.0,8.0,9.0,8.5,9.0,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,7,0,,0,26.0,27.0,29.0,34.0,35.5,34.0,34.5,0.0,0.0,0.0,0.0,5,5,5,2,7,4,6,0,0,0,0
Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,Louisiana,United States,50,31,Eliminated Week 8,8,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.625,10.125,9.625,9.625,9.0,9.0,9.0,9.0,8.5,9.0,9.0,8.5,9.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,8,0,,0,24.0,28.0,32.0,34.0,39.0,36.0,35.0,35.0,0.0,0.0,0.0,6,4,2,2,4,3,5,5,0,0,0
Charli D'Amelio,Mark Ballas,Social Media Personality,Connecticut,United States,18,31,1st Place,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.375,10.375,10.375,10.875,10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,11.25,11.25,11.25,11.25,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1,1,1,10,10,0,,0,32.0,32.0,33.0,36.0,42.0,40.0,39.0,45.0,40.0,40.0,0.0,1,1,1,1,1,1,1,1,1,1,0
Teresa Giudice,Pasha Pashkov,TV Personality,New Jersey,United States,50,31,Eliminated Week 2,15,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,2,0,,0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,0,0,0,0,0,0,0,0,0
Vinny Guadagnino,Koko Iwasaki,TV Personality,New York,United States,34,31,Eliminated Week 8,7,4.0,4.0,5.0,4.0,7.0,6.0,7.0,7.0,6.0,5.0,6.0,6.0,8.0,7.0,7.0,7.0,7.75,7.75,7.75,7.75,7.0,7.0,7.0,7.0,7.5,8.0,8.0,8.0,8.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,10,8,7,"1,3,5,6,7",5,17.0,27.0,23.0,29.0,31.0,28.0,31.5,29.0,0.0,0.0,0.0,11,5,11,5,10,6,7,6,0,0,0
Shangela,Gleb Savchenko,TV Personality,Texas,United States,40,31,4th Place,4,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.75,9.25,9.75,9.75,9.0,9.0,9.0,9.0,9.0,9.5,9.0,9.0,11.25,10.25,10.25,10.25,9.5,9.0,9.0,9.0,9.5,9.5,9.5,9.5,0.0,0.0,0.0,0.0,1,0,1,10,10,0,,0,28.0,28.0,30.0,32.0,38.5,36.0,36.5,42.0,36.5,38.0,0.0,3,4,4,3,5,3,3,2,2,2,0
Gabby Windey,Valentin Chmerkovskiy,TV Personality,Illinois,United States,31,31,2nd Place,2,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.25,10.25,10.25,10.25,9.0,9.0,9.0,10.0,9.0,9.0,8.5,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1,1,1,10,10,0,,0,28.0,32.0,33.0,36.0,41.0,37.0,35.5,40.0,40.0,40.0,0.0,3,1,1,1,2,2,4,3,1,1,0
Jamie Lynn Spears,Alan Bersten,Actor/Actress,Mississippi,United States,32,32,Eliminated Week 2,13,5.0,5.0,5.0,0.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,2,0,,0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,0,0,0,0,0,0,0,0,0
Mira Sorvino,Gleb Savchenko,Actor/Actress,New York,United States,55,32,Eliminated Week 5,10,6.0,5.0,6.0,0.0,6.0,6.0,6.0,0.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,5,0,,0,17.0,18.0,26.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,4,5,4,0,0,0,0,0,0
Barry Williams,Peta Murgatroyd,Actor/Actress,California,United States,68,32,Eliminated Week 8,7,6.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,0.0,8.0,8.0,8.0,0.0,8.25,7.25,8.25,8.25,8.0,8.0,8.5,8.0,8.75,8.75,8.75,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,8,7,"4,7",2,16.0,15.0,25.0,18.0,24.0,32.0,32.5,35.0,0.0,0.0,0.0,6,7,5,7,3,7,5,5,0,0,0
Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,32,5th Place,5,5.0,4.0,4.0,0.0,7.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,7.0,7.0,7.0,0.0,7.5,7.5,7.5,8.5,8.5,8.5,9.5,8.5,8.75,8.75,9.75,8.75,7.75,7.75,8.75,7.75,8.5,8.5,8.5,0.0,9.0,8.5,9.0,0.0,1,0,1,11,11,10,"1,4,5,6,9,10",6,13.0,19.0,24.0,18.0,21.0,31.0,35.0,36.0,32.0,25.5,26.5,8,4,6,7,5,8,4,4,5,5,3
Xochitl Gomez,Valentin Chmerkovskiy,Actor/Actress,California,United States,17,32,1st Place,1,6.0,6.0,6.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,0.0,9.0,10.0,9.0,0.0,10.25,10.25,11.25,10.25,9.5,9.0,9.5,9.0,10.0,10.0,10.0,10.0,9.75,9.75,10.75,10.75,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,1,1,1,11,11,0,,0,18.0,24.0,32.0,27.0,28.0,42.0,37.0,40.0,41.0,30.0,30.0,4,1,2,1,1,1,1,2,2,1,1
Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,32,Eliminated Week 4,11,6.0,6.0,6.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,4,3,3,1,18.0,15.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,8,5,0,0,0,0,0,0,0
Matt Walsh,Koko Iwasaki,Comedian,Illinois,United States,58,32,Eliminated Week 1,14,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,1,0,,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0,0
Tyson Beckford,Jenna Johnson,Model,New York,United States,52,32,Eliminated Week 3,12,4.0,4.0,4.0,0.0,6.0,6.0,6.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,3,1,1,1,12.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,9,0,0,0,0,0,0,0,0
Jason Mraz,Daniella Karagach,Singer/Rapper,Virginia,United States,46,32,2nd Place,2,7.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,9.75,9.75,9.75,9.75,8.5,8.5,10.0,9.0,8.0,9.0,8.0,8.0,10.75,10.75,10.75,10.75,9.5,9.5,9.5,0.0,10.0,10.0,10.0,0.0,1,1,1,11,11,8,8,1,21.0,24.0,34.0,24.0,27.0,39.0,36.0,33.0,43.0,28.5,30.0,2,1,1,3,2,3,3,6,1,4,1
