celebrity_name,season,week,judge_score,fan_votes,method1_rank,method2_pct,placement,weeks_participated,method1_pos,method2_pos,judge_score_pos,n_contestants,judge_is_bottom_two,method1_is_bottom_two,method2_is_bottom_two,both_methods_bottom_two,controversial_bottom
Bill Nye,17,1,14.0,47.22432712,23.0,0.132383689161484,11.0,3.0,12.0,12.0,1.0,12,1,1,1,1,1
Bill Nye,17,2,17.0,48.27606803,20.0,0.1526519999614087,11.0,3.0,11.0,11.0,1.0,12,1,1,1,1,1
Bill Nye,17,3,16.0,3.419066326,21.5,0.0704120033375277,11.0,3.0,11.0,11.0,1.5,11,1,1,1,1,1
Billy Dee Williams,18,1,15.0,57.68946308,16.0,0.1513369997089281,10.0,2.0,9.0,11.0,1.0,12,1,0,1,0,1
Billy Dee Williams,18,2,15.0,5.175549572,21.0,0.0718933417994106,10.0,2.0,11.0,11.0,1.0,11,1,1,1,1,1
James Maslow,18,7,35.0,37.96034505,7.0,0.3127813789954858,4.0,10.0,4.0,4.0,2.0,7,1,0,0,0,0
James Maslow,18,8,36.0,41.81495142,6.0,0.3733801543778454,4.0,10.0,2.0,1.0,2.0,6,1,0,0,0,0
James Maslow,18,10,29.0,29.72981551,5.0,0.5037834860000518,4.0,10.0,2.5,3.0,2.0,4,1,0,1,0,1
Candace Cameron Bure,18,4,28.0,42.867629,10.0,0.2462397900595839,3.0,10.0,4.0,5.0,1.0,7,1,0,0,0,0
Candace Cameron Bure,18,6,32.0,42.57468622,8.5,0.2717791963057316,3.0,10.0,4.0,3.0,1.5,8,1,0,0,0,0
Candace Cameron Bure,18,8,36.0,40.72103482,7.0,0.3677794173385441,3.0,10.0,4.0,2.0,2.0,6,1,0,0,0,0
Candace Cameron Bure,18,9,36.0,40.9755659,6.0,0.4558693016447288,3.0,10.0,4.0,1.0,1.0,5,1,1,0,0,1
Candace Cameron Bure,18,10,25.9998,30.24285656,5.0,0.4819482022326107,3.0,10.0,2.5,4.0,1.0,4,1,0,1,0,1
Drew Carey,18,3,30.0,5.8994373,17.0,0.1113451659119506,8.0,6.0,9.0,9.0,1.0,9,1,1,1,1,1
Drew Carey,18,5,28.0,43.11289905,11.0,0.217743224122479,8.0,6.0,6.0,8.0,1.0,9,1,0,1,0,1
Drew Carey,18,6,32.0,3.557747625,15.5,0.1267038302354319,8.0,6.0,8.0,8.0,1.5,8,1,1,1,1,1
Cody Simpson,18,4,31.0,36.92843243,15.0,0.2352866322064525,9.0,5.0,7.0,7.0,2.0,7,1,1,1,1,1
Cody Simpson,18,5,34.0,3.095316936,17.0,0.1149799733404865,9.0,5.0,9.0,9.0,2.0,9,1,1,1,1,1
NeNe Leakes,18,3,31.0,55.71393199,11.0,0.240224526209328,7.0,7.0,6.0,7.0,2.0,9,1,0,0,0,0
NeNe Leakes,18,7,33.0,4.047808938,14.0,0.1490359226170336,7.0,7.0,7.0,7.0,1.0,7,1,1,1,1,1
Antonio Sabato Jr.,19,6,28.0,40.84477695,10.5,0.2215843474557352,8.0,7.0,6.0,8.0,1.5,9,1,0,1,0,1
Antonio Sabato Jr.,19,7,29.5,3.402745894,15.0,0.1272108551079882,8.0,7.0,8.0,8.0,2.0,8,1,1,1,1,1
Jonathan Bennett,19,4,24.0,45.76899458,14.0,0.1876193555138274,9.0,6.0,9.0,9.0,1.0,10,1,1,1,1,1
Tommy Chong,19,5,23.0,36.56583756,13.0,0.197267239686504,5.0,10.0,6.5,7.0,2.0,9,1,0,0,0,0
Tommy Chong,19,6,28.0,43.4634908,9.5,0.229664045918547,5.0,10.0,5.0,6.0,1.5,9,1,0,0,0,0
Tommy Chong,19,8,29.0,35.8987927,7.0,0.2890550978937102,5.0,10.0,4.0,6.0,2.0,7,1,0,1,0,1
Tommy Chong,19,9,28.5,40.06076465,7.0,0.3498661519708489,5.0,10.0,5.0,5.0,1.0,6,1,1,1,1,1
Tommy Chong,19,10,31.0,5.104587212,10.0,0.2071869763585013,5.0,10.0,5.0,5.0,1.0,5,1,1,1,1,1
Betsey Johnson,19,1,20.0,56.84019909,19.0,0.1378455639622335,10.0,4.0,12.0,12.0,1.0,13,1,1,1,1,1
Michael Waltrip,19,2,24.0,55.68050524,14.0,0.1632001705162405,7.0,8.0,8.0,11.0,1.0,12,1,0,1,0,1
Michael Waltrip,19,3,28.0,47.02538526,15.0,0.1792767076024164,7.0,8.0,6.5,10.0,2.0,11,1,0,1,0,1
Michael Waltrip,19,4,25.0,46.75192719,10.0,0.1931629630901471,7.0,8.0,5.5,8.0,2.0,10,1,0,0,0,0
Michael Waltrip,19,5,20.0,36.4012515,15.0,0.1854078263378095,7.0,8.0,8.0,9.0,1.0,9,1,1,1,1,1
Michael Waltrip,19,7,28.0,39.45937227,9.0,0.2601240184051306,7.0,8.0,6.0,7.0,1.0,8,1,0,1,0,1
Michael Waltrip,19,8,25.0,3.901613404,14.0,0.1195130470902056,7.0,8.0,7.0,7.0,1.0,7,1,1,1,1,1
Suzanne Somers,20,4,28.0,45.91171514,14.0,0.1962282800618568,9.0,5.0,9.0,9.0,2.0,10,1,1,1,1,1
Robert Herjavec,20,5,24.0,45.26360798,11.0,0.2144380743708731,6.0,8.0,6.0,8.0,1.0,9,1,0,1,0,1
Robert Herjavec,20,6,33.5,41.43580159,10.0,0.2638245597970115,6.0,8.0,7.0,5.0,1.0,8,1,1,0,0,1
Robert Herjavec,20,7,31.0,44.82863849,8.5,0.2950707286488647,6.0,8.0,4.5,6.0,1.5,7,1,0,1,0,1
Robert Herjavec,20,8,31.0,6.599634456,11.0,0.1823259762110329,6.0,8.0,6.0,6.0,1.0,6,1,1,1,1,1
Charlotte McKinney,20,1,22.0,52.09725702,21.5,0.1488338354584525,11.0,3.0,11.0,11.0,1.5,12,1,1,1,1,1
Charlotte McKinney,20,2,26.0,54.71751615,18.0,0.1624631977416055,11.0,3.0,12.0,11.0,2.0,12,1,1,1,1,1
Charlotte McKinney,20,3,22.0,3.263538138,21.5,0.0770452872660134,11.0,3.0,11.0,11.0,1.5,11,1,1,1,1,1
Noah Galloway,20,8,31.5,47.2934001,6.0,0.4051506914835508,3.0,10.0,3.0,3.0,2.0,6,1,0,0,0,0
Noah Galloway,20,9,38.0,47.42352335,5.0,0.588914742698665,3.0,10.0,2.5,1.0,1.0,4,1,0,0,0,0
Noah Galloway,20,10,36.0,31.09420954,5.0,0.6435051558292151,3.0,10.0,3.0,3.0,1.0,3,1,1,1,1,1
Redfoo,20,1,22.0,49.20177813,23.5,0.1444069406033836,12.0,2.0,12.0,12.0,1.5,12,1,1,1,1,1
Patti LaBelle,20,3,22.0,48.64128946,14.5,0.1710081474707195,8.0,6.0,9.0,10.0,1.5,11,1,0,1,0,1
Chris Soules,20,2,21.0,64.52891228,14.0,0.1637499177095563,5.0,8.0,8.0,10.0,1.0,12,1,0,0,0,0
Chris Soules,20,4,27.0,49.7917343,12.0,0.2024537956171412,5.0,8.0,7.0,7.0,1.0,10,1,0,0,0,0
Chris Soules,20,7,31.0,45.0388843,7.5,0.2958822068441543,5.0,8.0,3.0,5.0,1.5,7,1,0,0,0,0
Gary Busey,21,2,16.5,64.98174544,13.0,0.1638660820917,10.0,4.0,7.0,10.0,2.0,13,1,0,0,0,0
Gary Busey,21,3,25.0,43.91936797,17.0,0.178459923488337,10.0,4.0,8.5,9.0,2.0,10,1,0,1,0,1
Gary Busey,21,4,16.0,3.596134642,20.0,0.076733040656956,10.0,4.0,10.0,10.0,1.0,10,1,1,1,1,1
Alek Skarlatos,21,7,26.5,47.2011134,9.0,0.2819086944695542,3.0,11.0,4.5,1.0,1.0,8,1,0,0,0,0
Alek Skarlatos,21,8,25.0,39.23523217,7.0,0.3063108214203859,3.0,11.0,4.0,4.0,2.0,7,1,0,0,0,0
Alek Skarlatos,21,9,25.5,48.87229805,6.0,0.4032027713664508,3.0,11.0,3.0,1.0,2.0,6,1,0,0,0,0
Alek Skarlatos,21,10,28.5,30.80547277,4.0,0.4931139684769293,3.0,11.0,2.0,3.0,2.0,4,1,0,1,0,1
Alek Skarlatos,21,11,27.9999,30.31476447,5.0,0.4931184752725126,3.0,11.0,2.5,4.0,1.0,4,1,0,1,0,1
Chaka Khan,21,1,13.0,52.00369035,24.0,0.1246133605275418,13.0,2.0,13.0,12.0,2.0,13,1,1,1,1,1
Chaka Khan,21,2,15.0,5.684058681,24.0,0.0644508898101465,13.0,2.0,13.0,13.0,1.0,13,1,1,1,1,1
Andy Grammer,21,8,23.9998,3.866482353,14.0,0.1411971644140626,7.0,8.0,7.0,7.0,1.0,7,1,1,1,1,1
Nick Carter,21,10,27.0,30.40136707,7.0,0.4771420376484425,2.0,11.0,4.0,4.0,1.0,4,1,1,1,1,1
Kim Zolciak-Biermann,21,1,12.0,53.98824246,20.0,0.1233844138293221,11.0,2.0,10.0,13.0,1.0,13,1,0,1,0,1
Paula Deen,21,3,20.0,43.3451405,19.0,0.1608048788088832,9.0,6.0,10.0,10.0,1.0,10,1,1,1,1,1
Paula Deen,21,4,18.0,44.83108127,13.0,0.1876768709687795,9.0,6.0,7.0,9.0,2.0,10,1,0,1,0,1
Paula Deen,21,5,26.0,37.27941474,15.0,0.1932565318097516,9.0,6.0,8.5,9.0,1.0,9,1,1,1,1,1
Paula Deen,21,6,24.0,3.63979171,18.0,0.0882691089009091,9.0,6.0,9.0,9.0,1.0,9,1,1,1,1,1
Mischa Barton,22,2,15.0,53.13395792,16.0,0.1547187620413537,11.0,3.0,8.0,11.0,2.0,12,1,0,1,0,1
Mischa Barton,22,3,18.0,3.416453085,22.0,0.0828963828510399,11.0,3.0,11.0,11.0,1.0,11,1,1,1,1,1
Jodie Sweetin,22,4,27.0,47.06956378,13.0,0.1974776734600744,6.0,8.0,6.5,8.0,2.0,10,1,0,0,0,0
Jodie Sweetin,22,7,25.5,45.03486388,9.0,0.2863454035554693,6.0,8.0,5.5,4.0,1.0,8,1,0,0,0,0
Doug Flutie,22,1,15.0,57.93862233,15.0,0.1482686449887927,9.0,6.0,6.0,10.0,2.0,12,1,0,0,0,0
Doug Flutie,22,4,24.0,47.6362582,13.0,0.1894318009289606,9.0,6.0,6.5,9.0,1.0,10,1,0,1,0,1
Doug Flutie,22,6,21.0,3.599498501,18.0,0.103998835456412,9.0,6.0,9.0,9.0,1.0,9,1,1,1,1,1
Antonio Brown,22,5,26.0,39.25603714,13.0,0.2065999593232153,5.0,9.0,6.0,8.0,1.0,9,1,0,1,0,1
Antonio Brown,22,8,27.0,42.44817052,9.0,0.3549766022846047,5.0,9.0,6.0,4.0,2.0,6,1,1,0,0,1
Antonio Brown,22,9,27.5,8.773400339,9.0,0.2449701219123055,5.0,9.0,5.0,5.0,1.0,5,1,1,1,1,1
Geraldo Rivera,22,1,13.0,54.35740924,21.0,0.1345773274218107,12.0,2.0,12.0,12.0,1.0,12,1,1,1,1,1
Geraldo Rivera,22,2,13.0,3.605862598,24.0,0.06127115513339,12.0,2.0,12.0,12.0,1.0,12,1,1,1,1,1
Wanya Morris,22,8,25.0,44.60345021,7.0,0.3530541171467267,4.0,9.0,4.0,5.0,1.0,6,1,0,1,0,1
Marilu Henner,23,4,21.0,52.93700319,12.0,0.1941155121642403,6.0,9.0,7.0,9.0,2.0,11,1,0,0,0,0
Marilu Henner,23,7,32.0,40.31077381,9.0,0.2622916797640899,6.0,9.0,5.0,7.0,1.0,8,1,0,1,0,1
Marilu Henner,23,8,23.0,39.57827589,8.0,0.2836774037438521,6.0,9.0,4.5,6.0,1.0,7,1,0,1,0,1
Marilu Henner,23,9,36.0,4.167314466,11.5,0.1810107181338205,6.0,9.0,6.0,6.0,1.5,6,1,1,1,1,1
Calvin Johnson Jr.,23,10,28.0,45.63228276,6.0,0.4601564002291038,3.0,11.0,3.0,1.0,1.0,5,1,0,0,0,0
Calvin Johnson Jr.,23,11,38.3331,30.9647923,4.0,0.5076899545550378,3.0,11.0,1.0,1.0,2.0,4,1,0,0,0,0
Rick Perry,23,1,20.0,55.36518086,24.0,0.134300636416883,12.0,3.0,13.0,13.0,1.0,13,1,1,1,1,1
Rick Perry,23,2,22.0,55.53813467,17.0,0.1462724961372455,12.0,3.0,9.5,12.0,1.0,13,1,0,1,0,1
Rick Perry,23,3,23.0,3.093099304,23.5,0.0763779861414011,12.0,3.0,12.0,12.0,1.5,12,1,1,1,1,1
James Hinchcliffe,23,9,36.0,38.26444097,7.5,0.3644553691732658,2.0,11.0,4.0,4.0,1.5,6,1,0,0,0,0
Vanilla Ice,23,3,23.0,49.44494663,17.5,0.160428366406762,10.0,4.0,10.0,11.0,1.5,12,1,0,1,0,1
Terra Jole,23,8,24.0,39.01983043,9.0,0.2862644407865435,5.0,10.0,6.0,5.0,2.0,7,1,1,0,0,1
Charo,24,3,24.0,3.290192028,21.0,0.0825475377082766,11.0,3.0,11.0,11.0,2.0,11,1,1,1,1,1
Mr. T,24,1,20.0,58.41516728,19.0,0.1490762910096783,10.0,4.0,10.0,10.0,2.0,12,1,0,0,0,0
Mr. T,24,2,22.0,54.15784155,19.5,0.1545669377494852,10.0,4.0,10.0,11.0,1.5,12,1,0,1,0,1
Mr. T,24,3,24.0,51.15872846,16.0,0.1750355226877649,10.0,4.0,10.0,10.0,2.0,11,1,1,1,1,1
Mr. T,24,4,28.0,3.467554071,20.0,0.094015663939626,10.0,4.0,10.0,10.0,1.0,10,1,1,1,1,1
Bonner Bolton,24,3,24.0,54.11425739,13.0,0.180745973344066,5.0,8.0,8.0,8.0,2.0,11,1,0,0,0,0
Bonner Bolton,24,5,30.0,47.72120964,11.0,0.2276377674625055,5.0,8.0,7.0,7.0,2.0,9,1,0,0,0,0
Bonner Bolton,24,7,31.0,52.20190129,9.0,0.3262202983601593,5.0,8.0,5.0,5.0,1.0,7,1,0,0,0,0
Bonner Bolton,24,8,29.0,5.642836454,10.0,0.2004521975153249,5.0,8.0,5.0,5.0,1.0,5,1,1,1,1,1
David Ross,24,5,29.0,52.9726473,10.0,0.2385388721478348,2.0,10.0,6.0,3.0,1.0,9,1,0,0,0,0
David Ross,24,6,31.0,54.53731242,8.0,0.274831148498496,2.0,10.0,3.0,1.0,2.0,8,1,0,0,0,0
David Ross,24,7,32.0,53.69608866,7.0,0.3360031533091684,2.0,10.0,4.0,3.0,2.0,7,1,0,0,0,0
David Ross,24,8,32.5,42.92602564,5.0,0.4468915938894084,2.0,10.0,3.0,3.0,2.0,5,1,0,0,0,0
David Ross,24,9,35.0,50.69879916,5.0,0.5762927341823258,2.0,10.0,2.5,1.0,1.0,4,1,0,0,0,0
David Ross,24,10,36.3333,32.85307691,4.0,0.6525685271565795,2.0,10.0,2.0,3.0,1.0,3,1,1,1,1,1
Chris Kattan,24,1,17.0,55.170821,21.0,0.1345410102110693,12.0,2.0,12.0,12.0,1.0,12,1,1,1,1,1
Chris Kattan,24,2,22.0,3.372055927,23.5,0.0725208375368083,12.0,2.0,12.0,12.0,1.5,12,1,1,1,1,1
Nick Viall,24,6,30.5,50.16677095,10.0,0.2601831393163322,6.0,7.0,6.5,5.0,1.0,8,1,0,0,0,0
Sasha Pieterse,25,3,19.0,44.94281257,22.0,0.1630225931683835,10.0,5.0,11.0,11.0,1.0,11,1,1,1,1,1
Derek Fisher,25,4,23.0,3.049924788,21.0,0.091129083447218,11.0,4.0,11.0,11.0,2.0,11,1,1,1,1,1
Terrell Owens,25,1,15.0,57.39077068,21.0,0.1367526373197231,6.0,8.0,11.0,12.0,2.0,13,1,0,1,0,1
Terrell Owens,25,7,24.5,47.9753961,9.0,0.2807778248118262,6.0,8.0,6.0,6.0,2.0,8,1,0,0,0,0
Victoria Arlen,25,8,24.0,42.29090776,7.0,0.353425457803107,5.0,9.0,4.0,5.0,2.0,6,1,0,1,0,1
Barbara Corcoran,25,1,14.0,53.62039714,26.0,0.1277075775628009,13.0,2.0,13.0,13.0,1.0,13,1,1,1,1,1
Barbara Corcoran,25,2,17.0,4.56155301,25.0,0.0687936821109429,13.0,2.0,13.0,13.0,1.0,13,1,1,1,1,1
Nick Lachey,25,4,22.0,49.28377947,14.0,0.1823077189202649,9.0,6.0,8.0,10.0,1.0,11,1,0,1,0,1
Nick Lachey,25,5,22.0,46.84514168,12.0,0.199305109677917,9.0,6.0,6.0,9.0,1.0,10,1,0,1,0,1
Nick Lachey,25,6,26.0,3.738970651,18.0,0.0962709234333078,9.0,6.0,9.0,9.0,1.0,9,1,1,1,1,1
Drew Scott,25,6,30.0,44.66577132,9.0,0.2330721435943167,4.0,10.0,4.0,6.0,2.0,9,1,0,0,0,0
Drew Scott,25,8,23.5,44.90192457,7.0,0.3625828296133173,4.0,10.0,4.0,4.0,1.0,6,1,0,0,0,0
Drew Scott,25,9,24.0,46.84041682,6.0,0.4439023434498801,4.0,10.0,3.5,1.0,1.0,5,1,0,0,0,0
Drew Scott,25,10,37.5,33.49395367,5.0,0.4981292512740856,4.0,10.0,2.0,2.0,1.0,4,1,0,0,0,0
Kareem Abdul-Jabbar,26,1,17.0,76.72445354,13.0,0.24380601527232,8.0,2.0,6.0,6.0,1.0,8,1,0,0,0,0
Kareem Abdul-Jabbar,26,2,29.5,7.566432687,15.0,0.1276017718190461,8.0,2.0,8.0,8.0,1.0,8,1,1,1,1,1
John Schneider,27,3,21.0,57.08306805,16.0,0.1791253610219261,8.0,7.0,10.0,9.0,2.0,11,1,1,0,0,1
John Schneider,27,6,19.0,47.28118677,11.0,0.2128433467035831,8.0,7.0,7.0,8.0,1.0,9,1,0,1,0,1
Bobby Bones,27,4,20.0,58.8506465,11.0,0.2051469518269212,1.0,9.0,4.5,6.0,2.0,10,1,0,0,0,0
Bobby Bones,27,5,21.0,44.47991779,11.0,0.2095659294265125,1.0,9.0,5.0,8.0,2.0,9,1,0,1,0,1
Bobby Bones,27,8,22.5,56.62108825,7.0,0.3930169826754959,1.0,9.0,4.0,4.0,1.0,6,1,0,0,0,0
Bobby Bones,27,9,27.0,35.63525187,5.0,0.4876255599569818,1.0,9.0,2.0,4.0,1.0,4,1,0,1,0,1
Joe Amabile,27,1,14.0,74.21158467,14.0,0.1466658612392171,6.0,8.0,7.0,12.0,1.0,13,1,0,1,0,1
Joe Amabile,27,2,17.5,64.82186364,14.0,0.1640335611928722,6.0,8.0,8.5,10.0,1.0,12,1,0,0,0,0
Joe Amabile,27,3,18.0,60.72718364,13.0,0.1745434821624828,6.0,8.0,6.5,10.0,1.0,11,1,0,1,0,1
Joe Amabile,27,4,15.0,60.32667425,11.0,0.1865783524737403,6.0,8.0,4.5,9.0,1.0,10,1,0,1,0,1
Joe Amabile,27,5,17.0,43.16429799,14.0,0.1881473078990314,6.0,8.0,8.5,9.0,1.0,9,1,1,1,1,1
Joe Amabile,27,7,23.5,54.04472696,9.0,0.2840061158636687,6.0,8.0,5.5,5.0,1.0,8,1,0,0,0,0
Joe Amabile,27,8,23.0,8.075935025,10.0,0.1789807006870884,6.0,8.0,6.0,6.0,2.0,6,1,1,1,1,1
Kate Flannery,28,7,24.0,3.363811805,14.0,0.1878984520724736,7.0,8.0,7.5,7.0,2.0,8,1,1,1,1,1
Lamar Odom,28,1,11.0,7.752363901,21.0,0.0967639840656759,10.0,4.0,12.0,12.0,1.0,12,1,1,1,1,1
Lamar Odom,28,2,12.0,7.621599377,21.0,0.1050693380365816,10.0,4.0,10.0,10.0,1.0,12,1,0,0,0,0
Lamar Odom,28,3,12.0,5.5664042,19.0,0.1123586466169481,10.0,4.0,10.0,10.0,1.0,10,1,1,1,1,1
Lamar Odom,28,4,20.0,2.513990446,20.0,0.0965109964957889,10.0,4.0,10.0,10.0,1.0,10,1,1,1,1,1
Sean Spicer,28,1,12.0,13.73219412,17.0,0.1334089547340625,6.0,9.0,8.0,7.0,2.0,12,1,0,0,0,0
Sean Spicer,28,3,15.0,9.927721778,14.0,0.168058683752591,6.0,9.0,8.0,7.0,2.0,10,1,0,0,0,0
Sean Spicer,28,4,21.0,8.472562773,14.0,0.1607072749297973,6.0,9.0,7.5,6.0,2.0,10,1,0,0,0,0
Sean Spicer,28,5,19.0,6.583527686,15.0,0.186982684573411,6.0,9.0,8.0,6.0,1.0,9,1,1,0,0,1
Sean Spicer,28,6,21.0,6.29715583,15.0,0.2075461515468544,6.0,9.0,9.0,7.0,1.0,9,1,1,0,0,1
Sean Spicer,28,7,21.0,5.791816689,12.0,0.2229137672237531,6.0,9.0,6.0,6.0,1.0,8,1,0,0,0,0
Sean Spicer,28,8,20.0,5.668357075,11.0,0.2525800592602598,6.0,9.0,6.0,6.0,1.0,7,1,1,1,1,1
Sean Spicer,28,9,25.0,2.591646491,12.0,0.2031669391590689,6.0,9.0,6.0,6.0,1.0,6,1,1,1,1,1
Lauren Alaina,28,8,24.0,6.688526474,8.0,0.3001134731554992,4.0,11.0,4.0,3.0,2.0,7,1,0,0,0,0
Lauren Alaina,28,9,35.0,6.500927487,7.0,0.3767236025347878,4.0,11.0,3.5,2.0,2.0,6,1,0,0,0,0
Lauren Alaina,28,11,28.5,5.355840176,6.0,0.5071005028601269,4.0,11.0,3.0,2.0,1.0,4,1,1,0,0,1
Karamo Brown,28,5,21.0,3.834100219,16.0,0.1551030357064172,8.0,7.0,9.0,8.0,2.0,9,1,1,1,1,1
Hannah Brown,28,6,24.0,7.220029776,10.0,0.2376223806990074,1.0,11.0,6.0,4.0,2.0,9,1,0,0,0,0
Hannah Brown,28,11,29.0,5.174440382,6.0,0.5024490213465962,1.0,11.0,3.0,3.0,2.0,4,1,1,1,1,1
Anne Heche,29,3,15.0,5.074900247,26.0,0.081126959037511,13.0,4.0,13.0,13.0,2.0,14,1,1,1,1,1
Chrishell Stause,29,5,19.0,5.427024123,22.5,0.1122146677612209,8.0,8.0,11.0,11.0,1.5,12,1,1,1,1,1
Skai Jackson,29,2,15.0,12.52411454,25.5,0.103459172333208,5.0,10.0,12.5,12.0,1.5,15,1,0,0,0,0
Skai Jackson,29,6,18.0,7.165505809,18.0,0.1452286168427158,5.0,10.0,9.5,9.0,1.0,11,1,0,0,0,0
Skai Jackson,29,8,26.9998,6.853928353,13.0,0.2422654258245438,5.0,10.0,7.0,6.0,2.0,8,1,1,0,0,1
Charles Oakley,29,1,12.0,5.897651576,28.0,0.0635557043542395,15.0,2.0,14.0,14.0,2.0,15,1,1,1,1,1
Charles Oakley,29,2,15.0,2.545409984,29.5,0.0648050988124558,15.0,2.0,15.0,15.0,1.5,15,1,1,1,1,1
Veron Davis,29,6,21.0,2.227164736,21.0,0.1026220037940889,11.0,6.0,11.0,11.0,2.0,11,1,1,1,1,1
Nelly,29,8,24.0,7.625858421,11.0,0.2423404865266557,3.0,11.0,5.0,5.0,1.0,8,1,0,0,0,0
Nelly,29,9,24.0,7.469770139,11.0,0.2805138705079801,3.0,11.0,5.5,5.0,1.0,7,1,0,0,0,0
Nelly,29,10,28.0,8.287037874,8.0,0.3714624040461288,3.0,11.0,4.0,3.0,1.0,6,1,0,0,0,0
Nelly,29,11,28.5,6.936776686,7.0,0.4769346903020356,3.0,11.0,4.0,3.0,1.0,4,1,1,1,1,1
Kaitlyn Bristowe,29,7,24.0,7.127507413,15.0,0.1842985111372943,1.0,11.0,8.0,6.0,2.0,10,1,0,0,0,0
Carole Baskin,29,1,11.0,5.651499514,30.0,0.0589832439056255,14.0,3.0,15.0,15.0,1.0,15,1,1,1,1,1
Carole Baskin,29,3,12.0,2.651254674,28.0,0.0571999219150721,14.0,3.0,14.0,14.0,1.0,14,1,1,1,1,1
Monica Aldama,29,7,22.0,2.524481713,19.0,0.1171974818960776,10.0,7.0,10.0,10.0,1.0,10,1,1,1,1,1
Martin Kove,30,1,13.0,5.78019225,30.0,0.0482275868043311,15.0,2.0,15.0,15.0,1.0,15,1,1,1,1,1
Martin Kove,30,2,15.0,3.579714241,30.0,0.04947999369445,15.0,2.0,15.0,15.0,1.0,15,1,1,1,1,1
Brian Austin Green,30,4,26.0,5.24960655,26.0,0.0892247861778229,13.0,4.0,13.0,13.0,1.0,13,1,1,1,1,1
Melora Hardin,30,9,36.0,3.861948491,11.0,0.2176885574226264,6.0,9.0,6.0,6.0,2.0,6,1,1,1,1,1
Matt James,30,2,22.0,11.94614556,25.0,0.0922464871882756,12.0,4.0,12.5,13.0,2.0,15,1,0,0,0,0
Matt James,30,4,28.5,5.269220096,24.0,0.0953203989688672,12.0,4.0,12.0,12.0,2.0,13,1,1,1,1,1
"Mike ""The Miz"" Mizanin",30,7,32.0,3.414201868,18.0,0.1306418877014103,9.0,7.0,9.0,9.0,1.0,9,1,1,1,1,1
Iman Shumpert,30,1,21.0,25.5447881,19.0,0.1135403967610174,1.0,10.0,10.0,10.0,2.0,15,1,0,0,0,0
Iman Shumpert,30,5,28.0,13.76868747,16.0,0.1617598358555761,1.0,10.0,9.0,7.0,1.0,11,1,0,0,0,0
Iman Shumpert,30,8,35.0,11.88498982,11.0,0.2506718757476886,1.0,10.0,6.0,5.0,2.0,8,1,0,0,0,0
Cody Rigsby,30,3,18.0,30.67502831,17.0,0.1799572535555902,3.0,10.0,7.0,3.0,1.0,14,1,0,0,0,0
Cody Rigsby,30,9,35.5,21.04825688,7.0,0.4753503322613162,3.0,10.0,4.0,1.0,1.0,6,1,0,0,0,0
Cody Rigsby,30,10,38.0,19.40211211,5.0,0.6168409808387424,3.0,10.0,3.0,1.0,1.0,4,1,1,0,0,1
Jimmie Allen,30,8,32.0,4.561088177,15.0,0.1564860567346251,7.0,8.0,8.0,8.0,1.0,8,1,1,1,1,1
Cheryl Ladd,31,2,21.0,8.06621782,28.0,0.0713596681393973,14.0,3.0,14.0,14.0,1.0,15,1,1,1,1,1
Cheryl Ladd,31,3,24.0,3.427268203,27.0,0.0713151535732109,14.0,3.0,14.0,14.0,2.0,14,1,1,1,1,1
Trevor Donovan,31,9,32.5,5.443722723,11.0,0.2305987311176478,6.0,9.0,5.5,6.0,1.0,6,1,1,1,1,1
Daniel Durant,31,5,33.5,13.06247071,17.0,0.1517844387236011,5.0,9.0,9.5,7.0,2.0,12,1,0,0,0,0
Daniel Durant,31,9,34.5,5.314662959,11.0,0.2377249238909882,5.0,9.0,5.5,5.0,2.0,6,1,1,1,1,1
Sam Champion,31,4,25.0,2.91023283,26.0,0.073636842769761,13.0,4.0,13.0,13.0,1.0,13,1,1,1,1,1
Jessie James Decker,31,6,32.0,3.534440905,19.0,0.1187247696889011,10.0,6.0,10.0,10.0,2.0,10,1,1,1,1,1
Vinny Guadagnino,31,1,17.0,20.7531653,26.0,0.0856992767581106,7.0,8.0,13.5,12.0,1.0,16,1,0,0,0,0
Vinny Guadagnino,31,3,23.0,15.09206035,22.0,0.1088653539600513,7.0,8.0,11.5,10.0,1.0,14,1,0,0,0,0
Vinny Guadagnino,31,5,31.0,14.70609771,17.0,0.1559105254752572,7.0,8.0,9.5,6.0,1.0,12,1,0,0,0,0
Vinny Guadagnino,31,6,28.0,11.45779085,18.0,0.1653515097137931,7.0,8.0,9.0,9.0,1.0,10,1,1,1,1,1
Vinny Guadagnino,31,7,31.5,10.66460567,16.0,0.1968852272802669,7.0,8.0,8.0,7.0,1.0,9,1,1,0,0,1
Vinny Guadagnino,31,8,29.0,5.687136131,15.0,0.1575592764486094,7.0,8.0,7.5,7.0,1.0,8,1,1,1,1,1
Barry Williams,32,4,18.0,10.66553386,18.5,0.1195838474817179,7.0,8.0,10.0,10.0,1.5,11,1,1,1,1,1
Barry Williams,32,7,32.5,8.024044002,14.0,0.1868355738746501,7.0,8.0,8.0,7.0,2.0,8,1,1,1,1,1
Alyson Hannigan,32,4,18.0,16.70415767,16.5,0.1448263797804725,5.0,11.0,8.0,6.0,1.5,11,1,0,0,0,0
Alyson Hannigan,32,5,21.0,14.91490194,15.0,0.1661270422432984,5.0,11.0,8.5,5.0,2.0,10,1,0,0,0,0
